Marca,Modelo,Imagen,Consumo_en_modo_encendido_en_el_rango_dinámico_normal_SDR,Clase_de_eficiencia_energetica_en_el_modo_de_alto_rango_dinamico_HDR,Consumo_en_modo_encendido_para_el_alto_rango_dinámico_HDR,Tipo
 Samsung , GQ55QN90BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 84, G, 188, Televisión
 Samsung , QE75QN92BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 125, G, 268, Televisión
 Samsung , GQ75QN93BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 125, G, 268, Televisión
 PHILIPS , 65PUS8057/12 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 101, G, 132, Televisión
 Samsung , GQ55QN85BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 77, G, 171, Televisión
 Samsung , S27BM500EU  ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 26, G, 33, Monitor
 Samsung , S27BM502EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 26, G, 33, Monitor
 Samsung , GQ75QN94BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 125, G, 268, Televisión
 PHILIPS , 70PUS8007/12 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 114, G, 149, Televisión
 PHILIPS , 55PUS8057/12 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 77, G, 90, Televisión
 Samsung , QE55Q67BAU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 77, G, 130, Televisión
 Samsung , QE75QN93BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 125, G, 268, Televisión
 KIVI , 24H500LB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 21, F, 21, Televisión
 PHILIPS , 65PUS8007/62 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 101, G, 132, Televisión
 Samsung , QE55QN90BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 84, G, 188, Televisión
 Samsung , QE75QN91BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 125, G, 268, Televisión
 PHILIPS , 65PUS8107/12 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 101, G, 132, Televisión
 PHILIPS , 55PUS8007/62 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 77, G, 90, Televisión
 Samsung , QE55QN85BAT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png, 77, G, 171, Televisión
