Brand,Model,Imagen,Contenido,Contenido1,Contenido2,Contenido10,Contenido11,Contenido12
 FABER                                                                                      , 110.0171.109 P1466                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 68, dB 
 FABER                                                                                      , 110.0156.678 P1451                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 56,8", kWh/año ,Ruido, 67, dB 
 FABER                                                                                      , 110.0171.108 P1466                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 68, dB 
 FABER                                                                                      , 110.0171.111 P1606                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 54,2", kWh/año ,Ruido, 68, dB 
 FABER                                                                                      , 110.0157.049 P1476                                                                                                                                                                                       ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 79,1", kWh/año ,Ruido, 68, dB 
 FRANKE                                                                                     , 110.0361.902                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía, 81, kWh/año ,Ruido, 69, dB 
 FRANKE                                                                                     , 110.0152.549 FDL9065XSL0                                                                                                                                                                                 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 101,2", kWh/año ,Ruido, 66, dB 
 FRANKE                                                                                     , 110.0016.635                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 158,5", kWh/año ,Ruido, 63, dB 
 FRANKE , 110.0315.943 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 49,1", kWh/año ,Ruido, 61, dB 
 FRANKE                                                                                     , 110.0361.907                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía, 81, kWh/año ,Ruido, 69, dB 
 MEPAMSA                                                                                    , 110.0270.786                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 92,6", kWh/año ,Ruido, 66, dB 
 MEPAMSA                                                                                    , 110.0270.788                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 126,9", kWh/año ,Ruido, 68, dB 
 FRANKE                                                                                     , 110.0389.115                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía," 101,7", kWh/año ,Ruido, 63, dB 
 NEW AIR                                                                                    , 110.0154.522 VITAL70INOXL                                                                                                                                                                                ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 79,1", kWh/año ,Ruido, 68, dB 
 NEW AIR                                                                                    , 110.0156.658                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 74,3", kWh/año ,Ruido, 67, dB 
 FRANKE                                                                                     , 47A 802.1                                                                                                                                                                                                ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightOrange.png,Consumo anual de energía, 81, kWh/año ,Ruido, 69, dB 
 FRANKE                                                                                     , 110.0200.684 FTC612XSL                                                                                                                                                                                   ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 88,4", kWh/año ,Ruido, 69, dB 
 Caple , CGI920/RED ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía, 96, kWh/año ,Ruido, 69, dB 
 FRANKE                                                                                     , 110.0301.324                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-DarkOrange.png,Consumo anual de energía," 158,5", kWh/año ,Ruido, 63, dB 
 HOTPOINT , PHC7.7FLBIX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 63,7", kWh/año ,Ruido, 60, dB 
 HOTPOINT , PHC6.7FLTIX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,Consumo anual de energía," 63,7", kWh/año ,Ruido, 60, dB 
 FRANKE                                                                                     , 110.0392.868                                                                                                                                                                                             ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png,Consumo anual de energía," 43,8", kWh/año ,Ruido, 67, dB 
