Type,Title,eclrow2,Content,eclrow5,Content6,Image
 Vents , VUE 250 V EC A14 ,Annual Electricity Consumption, 181,Maximum flow rate, 247,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 300 V2B EC A11 ,Annual Electricity Consumption, 317,Maximum flow rate, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 350 V1B EC A19 ,Annual Electricity Consumption, 164,Maximum flow rate, 350,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 550 VB EC A11 ,Annual Electricity Consumption, 288,Maximum flow rate, 680,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 550 VB EC A19 ,Annual Electricity Consumption, 187,Maximum flow rate, 680,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 700 HB EC A21 ,Annual Electricity Consumption, 173,Maximum flow rate, 751,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 700 HBE EC A21 ,Annual Electricity Consumption, 173,Maximum flow rate, 751,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 900 H EC ECO ,Annual Electricity Consumption, 246,Maximum flow rate, 940,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 900 HB EC A14 ,Annual Electricity Consumption, 163,Maximum flow rate, 940,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE2 150 P EC L A5 ,Annual Electricity Consumption, 193,Maximum flow rate, 138,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 160 PB EC A11 ,Annual Electricity Consumption, 230,Maximum flow rate, 160,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 250 VB EC A11 ,Annual Electricity Consumption, 278,Maximum flow rate, 247,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 270 V5 EC A2 ,Annual Electricity Consumption, 441,Maximum flow rate, 270,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 300 EH EC ECO ,Annual Electricity Consumption, 262,Maximum flow rate, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 300 H2 mini EC A14 ,Annual Electricity Consumption, 165,Maximum flow rate, 250,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 300-2 H EC ,Annual Electricity Consumption, 235,Maximum flow rate, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 350 EU EC ,Annual Electricity Consumption, 363,Maximum flow rate, 285,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 350 PE EC ,Annual Electricity Consumption, 267,Maximum flow rate, 340,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 350 U EC ,Annual Electricity Consumption, 363,Maximum flow rate, 285,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 350 V1B EC A11 ,Annual Electricity Consumption, 249,Maximum flow rate, 350,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 600 EH EC ,Annual Electricity Consumption, 278,Maximum flow rate, 535,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 600 PW EC ,Annual Electricity Consumption, 253,Maximum flow rate, 600,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUTR 200 V2 EC ,Annual Electricity Consumption, 619,Maximum flow rate, 222,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUTR 600 V EC ,Annual Electricity Consumption, 587,Maximum flow rate, 630,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUTR 600 VE EC ,Annual Electricity Consumption, 587,Maximum flow rate, 630,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUTR 900 WH EC  ,Annual Electricity Consumption, 285,Maximum flow rate, 860,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , DVUT 300 PBE EC ,Annual Electricity Consumption, 265,Maximum flow rate, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , DVUT 300 PBE2 EC ,Annual Electricity Consumption, 265,Maximum flow rate, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , DVUT 500 HB EC ,Annual Electricity Consumption, 187,Maximum flow rate, 580,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 100 P3B EC A14 ,Annual Electricity Consumption, 189,Maximum flow rate, 137,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 150 P3B EC A14 ,Annual Electricity Consumption, 148,Maximum flow rate, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 160 V1B EC A14 ,Annual Electricity Consumption, 159,Maximum flow rate, 175,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 180 P5 EC A2 ,Annual Electricity Consumption, 356,Maximum flow rate, 180,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 200 VB EC A11 ,Annual Electricity Consumption, 283,Maximum flow rate, 220,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 200 VB EC A14 ,Annual Electricity Consumption, 184,Maximum flow rate, 220,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 200 VB EC A19 ,Annual Electricity Consumption, 184,Maximum flow rate, 220,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 250 V EC A19 ,Annual Electricity Consumption, 181,Maximum flow rate, 247,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 250 VB EC A11 ,Annual Electricity Consumption, 278,Maximum flow rate, 247,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 270 V5B EC A14 ,Annual Electricity Consumption, 212,Maximum flow rate, 270,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 300 HB EC A14 ,Annual Electricity Consumption, 185,Maximum flow rate, 335,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 300 HB EC A21 ,Annual Electricity Consumption, 185,Maximum flow rate, 335,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 350 P32B EC A14 ,Annual Electricity Consumption, 147,Maximum flow rate, 390,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 400 HBE EC A21 ,Annual Electricity Consumption, 187,Maximum flow rate, 480,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 550 V2B EC A19 ,Annual Electricity Consumption, 243,Maximum flow rate, 580,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 160 V1 EC A11 ,Annual Electricity Consumption, 229,Maximum flow rate, 153,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 200 VB EC A11 ,Annual Electricity Consumption, 283,Maximum flow rate, 220,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 300 V2B EC A11 ,Annual Electricity Consumption, 317,Maximum flow rate, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 350 H2 mini EC A14 ,Annual Electricity Consumption, 126,Maximum flow rate, 315,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 350 P2B EC A11 ,Annual Electricity Consumption, 225,Maximum flow rate, 370,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 400 H EC ECO ,Annual Electricity Consumption, 258,Maximum flow rate, 450,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 550 V2B EC A11 ,Annual Electricity Consumption, 384,Maximum flow rate, 580,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUT 550 V2B EC A14 ,Annual Electricity Consumption, 243,Maximum flow rate, 580,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUTR 250 P2 EC ,Annual Electricity Consumption, 136,Maximum flow rate, 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUTR 400 VE EC ,Annual Electricity Consumption, 523,Maximum flow rate, 400,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUTR 650 P EC ,Annual Electricity Consumption, 142,Maximum flow rate, 650,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , iFAN ,Annual Electricity Consumption, 63,Maximum flow rate, 133,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Vents , VUE 270 V5 EC A2 ,Annual Electricity Consumption, 441,Maximum flow rate, 270,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUT 230 V5 A4 ,Annual Electricity Consumption, 801,Maximum flow rate, 190,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUT2 250 P EC ,Annual Electricity Consumption, 547,Maximum flow rate, 203,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUTE2 200 P ,Annual Electricity Consumption, 655,Maximum flow rate, 160,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUTE2 250 PU EC ,Annual Electricity Consumption, 547,Maximum flow rate, 253,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents ,  100 SNTH ,Annual Electricity Consumption, 75,Maximum flow rate, 98,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Ace VTH L ,Annual Electricity Consumption, 72,Maximum flow rate, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 CFTH ,Annual Electricity Consumption, 85,Maximum flow rate, 98,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Domino TH ,Annual Electricity Consumption, 83,Maximum flow rate, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Flip TH ,Annual Electricity Consumption, 72,Maximum flow rate, 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Flip TH 12 ,Annual Electricity Consumption, 92,Maximum flow rate, 80,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 LDTH Fresh Time ,Annual Electricity Consumption, 83,Maximum flow rate, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 M1TH 12 ,Annual Electricity Consumption, 85,Maximum flow rate, 86,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 M3TH ,Annual Electricity Consumption, 75,Maximum flow rate, 98,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 M3TH press ,Annual Electricity Consumption, 85,Maximum flow rate, 99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 M3TH Turbo ,Annual Electricity Consumption, 65,Maximum flow rate, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 MF TH 12 ,Annual Electricity Consumption, 77,Maximum flow rate, 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 MF TH L ,Annual Electricity Consumption, 72,Maximum flow rate, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Modern TH Turbo ,Annual Electricity Consumption, 73,Maximum flow rate, 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 MTH Q ,Annual Electricity Consumption, 64,Maximum flow rate, 70,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Quietline TH ,Annual Electricity Consumption, 58,Maximum flow rate, 100,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Quietline TH Duo ,Annual Electricity Consumption, 53,Maximum flow rate, 100,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 RTH Turbo ,Annual Electricity Consumption, 68,Maximum flow rate, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 S VTH Q ,Annual Electricity Consumption, 58,Maximum flow rate, 78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 SNTH Turbo ,Annual Electricity Consumption, 69,Maximum flow rate, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Solid TH 12 ,Annual Electricity Consumption, 92,Maximum flow rate, 80,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Wave TH ,Annual Electricity Consumption, 72,Maximum flow rate, 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 X1TH 12 ,Annual Electricity Consumption, 85,Maximum flow rate, 86,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 XTH ,Annual Electricity Consumption, 82,Maximum flow rate, 89,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 XTH Turbo ,Annual Electricity Consumption, 72,Maximum flow rate, 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 120 D TH ,Annual Electricity Consumption, 80,Maximum flow rate, 174,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 Ace VTH L ,Annual Electricity Consumption, 92,Maximum flow rate, 160,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 Base TH ,Annual Electricity Consumption, 72,Maximum flow rate, 180,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 D TH ,Annual Electricity Consumption, 72,Maximum flow rate, 180,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 D TH turbo ,Annual Electricity Consumption, 86,Maximum flow rate, 226,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 D1 TH 12 ,Annual Electricity Consumption, 79,Maximum flow rate, 165,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 LD VTH ,Annual Electricity Consumption, 78,Maximum flow rate, 167,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 M1TH 12 ,Annual Electricity Consumption, 51,Maximum flow rate, 165,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 MATH ,Annual Electricity Consumption, 62,Maximum flow rate, 185,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 Modern Auto TH ,Annual Electricity Consumption, 62,Maximum flow rate, 185,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 S TH ,Annual Electricity Consumption, 72,Maximum flow rate, 180,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 S VTH ,Annual Electricity Consumption, 72,Maximum flow rate, 180,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 S1 VTH turbo ,Annual Electricity Consumption, 86,Maximum flow rate, 226,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 SILENTA-STH ,Annual Electricity Consumption, 33,Maximum flow rate, 148,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 Simple VTH Q1 ,Annual Electricity Consumption, 49,Maximum flow rate, 167,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 XTH 12 ,Annual Electricity Consumption, 57,Maximum flow rate, 146,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 D VTH 12 ,Annual Electricity Consumption, 75,Maximum flow rate, 260,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 D1 TH ,Annual Electricity Consumption, 67,Maximum flow rate, 292,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 Domino TH 12 ,Annual Electricity Consumption, 53,Maximum flow rate, 236,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 LD Light TH ,Annual Electricity Consumption, 47,Maximum flow rate, 265,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 LD Light TH 12 ,Annual Electricity Consumption, 53,Maximum flow rate, 236,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 LD TH ,Annual Electricity Consumption, 74,Maximum flow rate, 265,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 LD VTH press ,Annual Electricity Consumption, 90,Maximum flow rate, 270,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 M TP 12 ,Annual Electricity Consumption, 90,Maximum flow rate, 263,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 MF DUO TH ,Annual Electricity Consumption, 52,Maximum flow rate, 300,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 150 Quietline TH Duo ,Annual Electricity Consumption, 60,Maximum flow rate, 335,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet 100 DC TP ,Annual Electricity Consumption, 16,Maximum flow rate, 101,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet 100 Duo TH ,Annual Electricity Consumption, 56,Maximum flow rate, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet 100 TH (230V/60Hz) ,Annual Electricity Consumption, 63,Maximum flow rate, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet 125 TP ,Annual Electricity Consumption, 75,Maximum flow rate, 185,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet 125 VTH ,Annual Electricity Consumption, 75,Maximum flow rate, 185,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet 125 VTH (230V/60Hz) ,Annual Electricity Consumption, 75,Maximum flow rate, 185,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet Extra 150 VTH ,Annual Electricity Consumption, 51,Maximum flow rate, 370,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-Disc 100 TH 12 ,Annual Electricity Consumption, 71,Maximum flow rate, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-Disc 100 VTH ,Annual Electricity Consumption, 63,Maximum flow rate, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-Disc 125 TP ,Annual Electricity Consumption, 75,Maximum flow rate, 185,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-dMEV 100 DC VTH ,Annual Electricity Consumption, 21,Maximum flow rate, 83,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-Mild 100 DC TH ,Annual Electricity Consumption, 16,Maximum flow rate, 101,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-Mild 100 VTH 12 ,Annual Electricity Consumption, 71,Maximum flow rate, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-Mild 125 TH (230V/60Hz) ,Annual Electricity Consumption, 75,Maximum flow rate, 185,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-Mild Extra 150 TH ,Annual Electricity Consumption, 51,Maximum flow rate, 370,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-N-Mild 100 TP 12 ,Annual Electricity Consumption, 71,Maximum flow rate, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-N-Mild 125 TH (230V/60Hz) ,Annual Electricity Consumption, 75,Maximum flow rate, 185,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-N-Mild 150 VTH ,Annual Electricity Consumption, 58,Maximum flow rate, 315,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-N-Mild Extra 150 TH ,Annual Electricity Consumption, 51,Maximum flow rate, 370,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-N-Mild Extra 150 VTH ,Annual Electricity Consumption, 51,Maximum flow rate, 370,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-S 100 TH 12 ,Annual Electricity Consumption, 70,Maximum flow rate, 99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , Quiet-Style 100 TH 12 ,Annual Electricity Consumption, 77,Maximum flow rate, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 125 LD TH ,Annual Electricity Consumption, 78,Maximum flow rate, 167,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUE 350 V2 mini EC A2 ,Annual Electricity Consumption, 298,Maximum flow rate, 315,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUE2 250 PU EC ,Annual Electricity Consumption, 547,Maximum flow rate, 253,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUT 200 H mini EC ,Annual Electricity Consumption, 415,Maximum flow rate, 215,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUT 300 V2 mini EC A2 ,Annual Electricity Consumption, 391,Maximum flow rate, 250,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , VUT2 200 P ,Annual Electricity Consumption, 655,Maximum flow rate, 160,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents ,  100 RNTH ,Annual Electricity Consumption, 75,Maximum flow rate, 98,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents ,  100 Vitro star TH Turbo ,Annual Electricity Consumption, 72,Maximum flow rate, 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Ace VTH ,Annual Electricity Consumption, 72,Maximum flow rate, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Base TH Q1 ,Annual Electricity Consumption, 77,Maximum flow rate, 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Flip VTH ,Annual Electricity Consumption, 72,Maximum flow rate, 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Flip VTH 12 ,Annual Electricity Consumption, 92,Maximum flow rate, 80,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 LDTH Fresh Time Turbo ,Annual Electricity Consumption, 73,Maximum flow rate, 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 LDTH Q ,Annual Electricity Consumption, 43,Maximum flow rate, 68,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 M1TH press ,Annual Electricity Consumption, 85,Maximum flow rate, 99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 MATH Turbo ,Annual Electricity Consumption, 82,Maximum flow rate, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 MF VTH 12 ,Annual Electricity Consumption, 77,Maximum flow rate, 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 MF VTH L 12 ,Annual Electricity Consumption, 77,Maximum flow rate, 85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Modern Auto TH Turbo ,Annual Electricity Consumption, 82,Maximum flow rate, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 RNTH Turbo ,Annual Electricity Consumption, 69,Maximum flow rate, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 SILENTA-MTH ,Annual Electricity Consumption, 47,Maximum flow rate, 78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Solid VTH 12 ,Annual Electricity Consumption, 92,Maximum flow rate, 80,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Style TH ,Annual Electricity Consumption, 76,Maximum flow rate, 97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 Wave TH 12 ,Annual Electricity Consumption, 92,Maximum flow rate, 80,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 100 X1TH ,Annual Electricity Consumption, 74,Maximum flow rate, 99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Vents , 120 Simple VTH Q1 ,Annual Electricity Consumption, 50,Maximum flow rate, 162,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
