Type,Title,eclrow2,Content,eclrow5,Content6,Image
 Systemair , SAVE VTC 300 L 488841 ,Annual Electricity Consumption, 362,Maximum flow rate, 381,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Viessmann Werke GmbH & Co. KG , 7372810 Vitovent 300-W H32S A225   ,Annual Electricity Consumption, 135,Maximum flow rate, 225,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Viessmann Werke GmbH & Co. KG , 7372809 Vitovent 300-W H32S A225   ,Annual Electricity Consumption, 135,Maximum flow rate, 225,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Sanutal , AIR 4 ,Annual Electricity Consumption, 299,Maximum flow rate, 450,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Systemair , SAVE VTC 200 L 488839 ,Annual Electricity Consumption, 304,Maximum flow rate, 267,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Sanutal , AIR 2 ,Annual Electricity Consumption, 278,Maximum flow rate, 250,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Systemair , SAVE VTC 200 R 488838 ,Annual Electricity Consumption, 304,Maximum flow rate, 267,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Systemair , SAVE VSR 150/B 488801 ,Annual Electricity Consumption, 354,Maximum flow rate, 168,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Sanutal , AIR 5 ,Annual Electricity Consumption, 350,Maximum flow rate, 550,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Sanutal , AIR 3 ,Annual Electricity Consumption, 342,Maximum flow rate, 340,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Systemair , SAVE VTR 150/K L 1000W White 488811 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/K R 500W White 488812 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/K R 500W S.S 488816 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/K L 500W S.S 488817 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/B L 500W 488821 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/K R 1000W S.S 488814 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/K L 500W White 488813 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/B L 1000W 488819 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/K R 1000W White 488810 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/K L 1000W S.S 488815 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/B R 1000W 488818 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 Systemair , SAVE VTR 150/B R 500W 488820 ,Annual Electricity Consumption, 392,Maximum flow rate, 278,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png
 FRAPOL Sp. z o.o. , OnyX Sky 500 ,Annual Electricity Consumption, 413,Maximum flow rate, 479,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png
 Mitsubishi Electric , VL-250CZPVU-R-ERT ,Annual Electricity Consumption," 1,8",Maximum flow rate, 285,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Mitsubishi Electric , VL-350CZPVU-L-ERT ,Annual Electricity Consumption," 1,9",Maximum flow rate, 380,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
 Mitsubishi Electric , VL-350CZPVU-R-ERT ,Annual Electricity Consumption," 1,9",Maximum flow rate, 380,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png
