Type,Title,eclrow15,Content16,eclrow11,Content12,Image
 HAJDU , Z300S ErP ,Annual fuel consumption, -,Annual electricity consumption , 4 359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , S300ST S ErP ,Annual fuel consumption, -,Annual electricity consumption , 4 359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , AF-50-18-1 ,Annual fuel consumption, -,Annual electricity consumption , 1 428,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , AQ F50 ,Annual fuel consumption, -,Annual electricity consumption , 1 401,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , SC100 S ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , LC200 B ,Annual fuel consumption, -,Annual electricity consumption , 2 754,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , FT10 ,Annual fuel consumption, -,Annual electricity consumption , 610,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 AQUASTIC , LC150 B ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , ZF10 ,Annual fuel consumption, -,Annual electricity consumption , 568,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , ZF15 ,Annual fuel consumption, -,Annual electricity consumption , 585,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , S50 ,Annual fuel consumption, -,Annual electricity consumption , 1 434,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z80ErP ,Annual fuel consumption, -,Annual electricity consumption , 1 396,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , SC150H S ErP ,Annual fuel consumption, -,Annual electricity consumption , 2 805,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
 HAJDU , Z100ESD ,Annual fuel consumption, -,Annual electricity consumption , 2 647,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png
