Type,Title,eclrow,Content,eclrow3,eclrow4,eclrow5,Content6,Image
 Manufacturas Rocal S.A , G 450 DC ,Direct heat output," 14,8",Indirect heat output, -,Energy Efficiency Index, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , ISLIM 7 ,Direct heat output," 7,6",Indirect heat output, -,Energy Efficiency Index, 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FONTANA CALORE  , RING 9A ,Direct heat output," 8,3",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FONTANA CALORE  , RING 11A ,Direct heat output," 10,3",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FONTANA CALORE  , RING 7A ,Direct heat output," 6,7",Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Austroflamm GmbH , Lux ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 108,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 JOLLY MEC , Universaljolly EVO 80 Plus 4S ,Direct heat output," 11,5",Indirect heat output, -,Energy Efficiency Index, 112,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ANIMO Ofen , Amito ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 ANIMO Ofen , Amito RAO PGI ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 JOLLY MEC , Ambria2 10 kW ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
