Type,Title,eclrow,Content,eclrow3,eclrow4,eclrow5,Content6,Image
" BESTAR INDUSTRIAL CO.,LTD. ", PTC-1500TR ,Direct heat output," 1,5",Indirect heat output, -,Energy Efficiency Index, 116,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
" BESTAR INDUSTRIAL CO.,LTD. ", PTC-1500P1 ,Direct heat output," 1,2",Indirect heat output, -,Energy Efficiency Index, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
" Dongguan Luying Plastic Hardware Products Co., Ltd ", YND-2000D ,Direct heat output," 1,9",Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FULMO/IPG31 , 309020101 ,Direct heat output," 4,2",Indirect heat output, -,Energy Efficiency Index, 91,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 FULMO/IPB30 , 309020102 ,Direct heat output," 4,2",Indirect heat output, -,Energy Efficiency Index, 91,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 FULMO/IPB40 , 309020103 ,Direct heat output," 3,7",Indirect heat output, -,Energy Efficiency Index, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 CORBERO , CELAB4200 ,Direct heat output," 4,2",Indirect heat output," 0,1",Energy Efficiency Index, 91,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 CORBERO , CECB2900 ,Direct heat output," 2,9",Indirect heat output," 0,1",Energy Efficiency Index, 91,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 MCZ , CLUB AIRMATIC 10 M3 CORE ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MUSA AIRMATIC 10 M3 CORE ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , DRACO 8 ,Direct heat output," 7,8",Indirect heat output, -,Energy Efficiency Index, 129,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , EGO COMFORT AIRMATIC 10 M3 CORE ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , EGO AIRMATIC 8 M3 CORE ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MAKO COMFORT AIRMATIC 8 M1 CORE ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , SUITE AIRMATIC 10 M3 CORE ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , LEO 6 ,Direct heat output," 6,5",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 HELLWEG , 518108 ,Direct heat output, 6,Indirect heat output, -,Energy Efficiency Index, 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , ELISA UP 8 ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 JOLLY MEC , EASY 68 4S CT ,Direct heat output," 9,8",Indirect heat output, -,Energy Efficiency Index, 112,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 HELLWEG , 565678 ,Direct heat output, 6,Indirect heat output, -,Energy Efficiency Index, 108,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FreePoint , TESIS IDROTECH 24 H2O T1 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 131,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Pegaso , MIRA IDROTECH 18 T1 ,Direct heat output, 6,Indirect heat output," 12,7",Energy Efficiency Index, 133,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 CADEL , RIVER IDROTECH 18 T1 ,Direct heat output, 5,Indirect heat output," 12,7",Energy Efficiency Index, 133,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 CADEL , RIVER IDROTECH 24 H2O T1 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 131,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 FreePoint , TESIS IDROTECH 18 T1 ,Direct heat output, 6,Indirect heat output," 12,7",Energy Efficiency Index, 133,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 FreePoint , TESIS IDROTECH 24  T1 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 131,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 MCZ , AKI HYDROMATIC 24 M2 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 MCZ , AKI HYDROMATIC 18 M2 ,Direct heat output, 5,Indirect heat output," 12,7",Energy Efficiency Index, 134,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Pegaso , MIRA IDROTECH 24 H2O T1 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 131,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Pegaso , MIRA IDROTECH 24 T1 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 131,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 CADEL , RIVER IDROTECH 24 T1 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 131,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Ravelli , Block 7 Stone ,Direct heat output," 6,4",Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , GROOVE_A COMFORT AIRMATIC 8 M1 ,Direct heat output," 8,3",Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Ravelli , Hoop 9 Steel CX ,Direct heat output," 8,4",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Ravelli , Easy 12 ,Direct heat output," 11,3",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , GROOVE_F COMFORT AIRMATIC 8 M1 ,Direct heat output," 8,3",Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Ravelli , Block 9 Stone ,Direct heat output," 8,4",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Ravelli , Hoop 7 Steel CX ,Direct heat output," 6,4",Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Ravelli , Hoop 7 Steel ,Direct heat output," 6,4",Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Ravelli , Hoop 9 Steel ,Direct heat output," 8,4",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Jack Sealey Ltd. , IR20 ,Direct heat output," 20,5",Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 STRENDPRO , 701 OMEGA Kuzine ,Direct heat output, 9,Indirect heat output, -,Energy Efficiency Index, 99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 HELLWEG , 560902 ,Direct heat output, 5,Indirect heat output, -,Energy Efficiency Index, 104,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 SUPERIOR , MARY ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 SUPERIOR , CLEOPE ,Direct heat output, 6,Indirect heat output, -,Energy Efficiency Index, 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , P240 ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FIREPLACE , AMBROSIA Stahl ,Direct heat output," 6,3",Indirect heat output, -,Energy Efficiency Index, 110,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Jack Sealey Ltd. , AB350 ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Jack Sealey Ltd. , AB1258 ,Direct heat output, 50,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Jack Sealey Ltd. , AB708 ,Direct heat output, 20,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Jack Sealey Ltd. , AB1008 ,Direct heat output, 30,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Jack Sealey Ltd. , AB7081 ,Direct heat output, 20,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Jack Sealey Ltd. , AB1758 ,Direct heat output, 50,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 L'ARTISTICO , KUMA 12SC ,Direct heat output, 12,Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 K (SH140-W-05) ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 K (SH140-W-06) ,Direct heat output," 8,2",Indirect heat output, -,Energy Efficiency Index, 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 H (SH140-W-05) ,Direct heat output, 8,Indirect heat output, -,Energy Efficiency Index, 114,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , E228 H (SH140-W-06) ,Direct heat output," 8,2",Indirect heat output, -,Energy Efficiency Index, 119,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , PERSEO 6 ,Direct heat output," 6,2",Indirect heat output, -,Energy Efficiency Index, 129,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Innofire , IDROCHIP2 ,Direct heat output," 3,6",Indirect heat output," 6,5",Energy Efficiency Index, 128,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , ALEA AIR 7 XUP! S1 ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , Kuma 10S ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , Cory 12SC ,Direct heat output, 12,Indirect heat output, -,Energy Efficiency Index, 123,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 HELLWEG , 572938 ,Direct heat output, 6,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 L'ARTISTICO , Cory 10S ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , CORNER M16 ,Direct heat output, 15,Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , FRATAC V M16 ,Direct heat output, 15,Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 L'ARTISTICO , APOLLO M16 ,Direct heat output, 15,Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 STOVAX , 323-568 ,Direct heat output," 4,9",Indirect heat output, -,Energy Efficiency Index, 108,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 STOVAX , 323-386 ,Direct heat output," 8,1",Indirect heat output, -,Energy Efficiency Index, 102,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 STOVAX , 323-371 ,Direct heat output, 5,Indirect heat output, -,Energy Efficiency Index, 103,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 STOVAX , 323-325 ,Direct heat output, 5,Indirect heat output, -,Energy Efficiency Index, 103,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 MCZ , SUITE HYDROMATIC 24 ACS M2 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 MCZ , CLUB HYDROMATIC 24 ACS M2 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Edilkamin , TERA H 30 ,Direct heat output," 4,6",Indirect heat output," 24,7",Energy Efficiency Index, 134,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Edilkamin , TERA H 25 ,Direct heat output," 4,5",Indirect heat output," 19,7",Energy Efficiency Index, 136,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 MCZ , MUSA HYDROMATIC 18 M2 ,Direct heat output, 5,Indirect heat output," 12,7",Energy Efficiency Index, 134,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 MCZ , MUSA HYDROMATIC 24 M2 ,Direct heat output, 6,Indirect heat output," 18,2",Energy Efficiency Index, 132,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 MCZ , MUSA AIR 10 UP! M2 ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MUSA COMFORT AIR 12 UP! M2 ,Direct heat output," 11,9",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MUSA COMFORT AIR 14 UP! M2 ,Direct heat output," 13,8",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , STAR HYDROMATIC 12 M2 ,Direct heat output," 1,9",Indirect heat output, 10,Energy Efficiency Index, 121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , GROOVE_T COMFORT AIRMATIC 8 M1 ,Direct heat output," 8,3",Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MUSA COMFORT AIR 14 M2 ,Direct heat output," 13,8",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , STAR COMFORT AIR 10 M2 ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MUSA COMFORT AIRMATIC 14 M2 ,Direct heat output," 13,9",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , STAR AIR 8 M2 ,Direct heat output," 8,1",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , STAR COMFORT AIR 10 UP! M2 ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MUSA COMFORT AIR 12 M2 ,Direct heat output," 11,9",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , MUSA AIR 10 M2 ,Direct heat output, 10,Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 MCZ , STAR AIR 8 UP! M2 ,Direct heat output," 8,1",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Barbas , Cuatro-7 75-60 ,Direct heat output," 14,4",Indirect heat output, -,Energy Efficiency Index, 99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Barbas , Gas Fire Front 110-75 PF2 ,Direct heat output," 9,6",Indirect heat output, -,Energy Efficiency Index, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Barbas , Gas Fire Front 70-75 PF2 ,Direct heat output," 9,6",Indirect heat output, -,Energy Efficiency Index, 89,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Jack Sealey Ltd. , LP100 ,Direct heat output, 30,Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Barbas , Gas Fire Front 90-75 PF2 ,Direct heat output," 9,6",Indirect heat output, -,Energy Efficiency Index, 89,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Barbas , Gas Fire Front 110-60 PF2 ,Direct heat output," 9,6",Indirect heat output, -,Energy Efficiency Index, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Barbas , Gas Fire Front 90-60 PF2 ,Direct heat output," 9,6",Indirect heat output, -,Energy Efficiency Index, 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Barbas , Gas Fire Front 70-60 PF2 ,Direct heat output," 9,6",Indirect heat output, -,Energy Efficiency Index, 88,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 CADEL , KOBE PLUS 11 T1 ,Direct heat output," 10,5",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FreePoint , LIFE 9 T1 ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , SOUND 5 PS ,Direct heat output," 5,5",Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , ICON PLUS 9 T1 ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , KOBE 11 T1 ,Direct heat output," 10,5",Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , PRINCE  PLUS 11 T1 ,Direct heat output," 10,5",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Pegaso , SPARK 11 T1 ,Direct heat output," 10,5",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , CRISTAL PLUS 9 T1 ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Pegaso , ELANE 9 T1 ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , FENICE 11 T1  ,Direct heat output," 10,5",Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FreePoint , INDACO 11 T1 ,Direct heat output," 10,5",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , MITHOS PLUS 12 PS ,Direct heat output, 12,Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , SOUND 7 PS ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 126,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FreePoint , STEEL 9 T1 ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , MA 260 SL (MA260SL-02) ,Direct heat output, 14,Indirect heat output, -,Energy Efficiency Index, 111,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , MA 261 SL (MA261SL-03) ,Direct heat output, 16,Indirect heat output, -,Energy Efficiency Index, 108,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , MA 263 SL (MA263SL-02) ,Direct heat output, 13,Indirect heat output, -,Energy Efficiency Index, 111,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 FreePoint , AMARANTO 9 T1 ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , CRISTAL 9 T1 ,Direct heat output," 8,5",Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , PRINCE 11 T1 ,Direct heat output," 10,5",Indirect heat output, -,Energy Efficiency Index, 127,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , FENICE PLUS 11 T1  ,Direct heat output," 10,5",Indirect heat output, -,Energy Efficiency Index, 124,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 CADEL , MITHOS PLUS 14 PS ,Direct heat output, 14,Indirect heat output, -,Energy Efficiency Index, 125,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , MA 262 SL (MA262SL-02) ,Direct heat output," 17,5",Indirect heat output, -,Energy Efficiency Index, 107,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 PIAZZETTA , IPK 6 ,Direct heat output," 6,1",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 PIAZZETTA , IP 6 M ,Direct heat output," 6,1",Indirect heat output, -,Energy Efficiency Index, 120,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Jack Sealey Ltd. , IR37 ,Direct heat output," 36,6",Indirect heat output, -,Energy Efficiency Index, 106,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 STRENDPRO , NOVA CERAMIC ,Direct heat output," 7,5",Indirect heat output, -,Energy Efficiency Index, 104,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Profile , 100000305 ,Direct heat output," 4,2",Indirect heat output, -,Energy Efficiency Index, 89,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 Edilkamin , Cherie H Evo ,Direct heat output," 3,4",Indirect heat output," 11,5",Energy Efficiency Index, 135,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 SCAN , Scan 87 wall ,Direct heat output," 11,5",Indirect heat output, -,Energy Efficiency Index, 112,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 SCAN , Scan 87 ,Direct heat output," 11,5",Indirect heat output, -,Energy Efficiency Index, 112,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Josef Davidssons , JD Idun No 1 ,Direct heat output," 4,4",Indirect heat output, -,Energy Efficiency Index, 105,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-LightGreen.png
 LEDA Werk GmbH & Co. KG , TURMA H75 DS ,Direct heat output, 7,Indirect heat output, -,Energy Efficiency Index, 107,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-MediumGreen.png
 Edilkamin , KIRA2 H 22 UP ,Direct heat output," 3,8",Indirect heat output, 19,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Italiana Camini , LAYMA2 IDRO 22 ,Direct heat output," 3,8",Indirect heat output, 19,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Edilkamin , BLADE2 H 22 UP ,Direct heat output," 3,8",Indirect heat output, 19,Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Edilkamin , BLADE2 H 18 UP ,Direct heat output," 3,7",Indirect heat output," 15,5",Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Edilkamin , KIRA2 H 18 UP ,Direct heat output," 3,7",Indirect heat output," 15,5",Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
 Italiana Camini , LAYMA2 IDRO 18 ,Direct heat output," 3,7",Indirect heat output," 15,5",Energy Efficiency Index, 130,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-DarkGreen.png
