Type,Title,eclrow,Content,eclrow2,eclrow3,eclrow5,eclrow6,eclrow7,eclrow8,eclrow9,eclrow10,Image
 CIAM Spa , CBBNVF3P6H6TI ,Annual energy consumption, 2 897, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 254,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , SBBNVF4P6H6TI ,Annual energy consumption, 3 680, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 338,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , SBBNVF3P5H6TI ,Annual energy consumption, 2 663, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 198,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , CBBNVF3P5H6TI ,Annual energy consumption, 2 663, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 198,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , CBBNVF4P5H5TI ,Annual energy consumption, 2 979, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 207,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , SBBNVF4P7H5TI ,Annual energy consumption, 3 329, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 313,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , SGBNVF4P6H5TI ,Annual energy consumption, 2 945, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 200,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , SPBNVF4P7H5TI ,Annual energy consumption, 3 339, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 311,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , CPBNVF4P7H5TI ,Annual energy consumption, 3 339, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 311,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-Red.png
 CIAM Spa , SBBNVF4P5H6TI ,Annual energy consumption, 3 405, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 264,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-Red.png
 CIAM Spa , CBBNVF4P5H6TI ,Annual energy consumption, 3 405, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 264,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-Red.png
 ggmgastro , GKG345 ,Annual energy consumption, 694, kWh/annum ,Volume (Chilled), 219, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Red.png
 Electrolux Professional , EC7R4BL 9VTX715168 ,Annual energy consumption, 916, kWh/annum ,Volume (Chilled), 362, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Zanussi Professional , ZBLR3BR 9VTX715163 ,Annual energy consumption, 587, kWh/annum ,Volume (Chilled), 242, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png
 Zanussi Professional , ZHR4BL 9VTX715162 ,Annual energy consumption, 824, kWh/annum ,Volume (Chilled), 423, Liters ,Volume (Frozen), 0,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EJ2H7BBXXL 9VTX715024 ,Annual energy consumption, 560, kWh/annum ,Volume (Chilled), 109, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EJ2H7BAXXT 9VTX715071 ,Annual energy consumption, 560, kWh/annum ,Volume (Chilled), 136, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EJ3H3AABXT 9VTX715070 ,Annual energy consumption, 760, kWh/annum ,Volume (Chilled), 218, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EJ3H7AABXT 9VTX715074 ,Annual energy consumption, 760, kWh/annum ,Volume (Chilled), 218, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EJ2H3BAXXT 9VTX715072 ,Annual energy consumption, 560, kWh/annum ,Volume (Chilled), 136, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen.png
 Electrolux Professional , EJ2K7AAXXT 9VTX715073 ,Annual energy consumption, 1 600, kWh/annum ,Volume (Chilled), 0, Liters ,Volume (Frozen), 160,Climate class, 5 (40ºC - 40%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
 Electrolux Professional , EJ4H1AAAB 9VTX715023 ,Annual energy consumption, 1 000, kWh/annum ,Volume (Chilled), 300, Liters ,Volume (Frozen), 0,Climate class, 4 (30ºC - 55%),https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen.png
