Type,Title,eclrow,Content,eclrow7,Content8,Image
 FLOS ARCHITECTURAL , 7230901300C01 ,Useful luminous flux, 779,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7230900720V01 ,Useful luminous flux, 773,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7230900562V03 ,Useful luminous flux, 578,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7230902905C01 ,Useful luminous flux, 387,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7227900562V02 ,Useful luminous flux, 578,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7227801300C01 ,Useful luminous flux, 668,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ON Light is ON , 23.0204.45/O ,Useful luminous flux, 1 100,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ON Light is ON , 23.0230.61/O ,Useful luminous flux, 1 650,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 LUZIFER LAMPS , D19_010 ,Useful luminous flux, 646,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 V-TAC , 20346 ,Useful luminous flux, 1 200,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 V-TAC , 20348 ,Useful luminous flux, 2 400,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 V-TAC , 20351 ,Useful luminous flux, 4 800,Energy consumption in on-mode, 40,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 a-collection , 7764651 ,Useful luminous flux, 3 220,Energy consumption in on-mode, 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 INTEC LIGHT , M-STEPLIGHT-1-SC ,Useful luminous flux, 95,Energy consumption in on-mode, 1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Stealth Light srl , ST-160L-1440-24-IP20-LW-30 ,Useful luminous flux, 1 815,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Stealth Light srl , ST-240L-192X-24-IP20-NW-30 ,Useful luminous flux, 2 531,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Stealth Light srl , OT-140L-1440-24-IP20-WW-30 ,Useful luminous flux, 1 791,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Brilliant , G99567/05 ,Useful luminous flux, 2 600,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FILLDAY , 2760230006G2 ,Useful luminous flux, 900,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Mustwin , UTLW41 ,Useful luminous flux, 6 000,Energy consumption in on-mode, 60,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 HORNBACH Baumarkt AG , 10437223 ,Useful luminous flux, 250,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 HORNBACH Baumarkt AG , 10437227 ,Useful luminous flux, 806,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 HORNBACH Baumarkt AG , 10437229 ,Useful luminous flux, 250,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 HORNBACH Baumarkt AG , 10437381 ,Useful luminous flux, 806,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 HORNBACH Baumarkt AG , 10437396 ,Useful luminous flux, 250,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 HORNBACH Baumarkt AG , 10437399 ,Useful luminous flux, 470,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Noxion B.V. , 8719157028509 ,Useful luminous flux, 1 150,Energy consumption in on-mode, 9,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Noxion B.V. , 8719157032803 ,Useful luminous flux, 806,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Noxion B.V. , 8719157034548 ,Useful luminous flux, 2 200,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Noxion B.V. , 8719157034555 ,Useful luminous flux, 2 200,Energy consumption in on-mode, 20,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 a-collection , 7298405 ,Useful luminous flux, 4 272,Energy consumption in on-mode, 34,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Lampemagasinet , VRIDNING BORDLAMPE ,Useful luminous flux, 1 235,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 HORNBACH Baumarkt AG , 10437382 ,Useful luminous flux, 250,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 VITERMA , 378338 - 1211.V940 ECO Stripe 4000K ,Useful luminous flux, 1 020,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 SLV , LS_2535 ,Useful luminous flux, 2 101,Energy consumption in on-mode, 16,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7240901200C02 ,Useful luminous flux, 1 044,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7230904248V02 ,Useful luminous flux, 2 037,Energy consumption in on-mode, 18,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7240901175C03 ,Useful luminous flux, 1 354,Energy consumption in on-mode, 12,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7230800840C09 ,Useful luminous flux, 684,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7230904300V01 ,Useful luminous flux, 3 690,Energy consumption in on-mode, 30,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7240903471C01 ,Useful luminous flux, 3 331,Energy consumption in on-mode, 32,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLOS ARCHITECTURAL , 7230804248V01 ,Useful luminous flux, 2 090,Energy consumption in on-mode, 18,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 unex lighting AG , LS_2533 ,Useful luminous flux, 1 022,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 B+S , BSLEDC372WCWUS ,Useful luminous flux, 208,Energy consumption in on-mode, 2 000,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Amindu , AM-A60-1521-D-CW ,Useful luminous flux, 1 521,Energy consumption in on-mode, 14,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Prios , L9001909 ,Useful luminous flux, 1 445,Energy consumption in on-mode, 14,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Prios , L9001919 ,Useful luminous flux, 7 177,Energy consumption in on-mode, 52,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 ARUM , AR9936 ,Useful luminous flux, 1 521,Energy consumption in on-mode, 14,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLASHLIGHT , AMPOLE116 ,Useful luminous flux, 480,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 FLASHLIGHT , AMPOLE127 ,Useful luminous flux, 720,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Videx , VLE-G95FD-07274 ,Useful luminous flux, 806,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 LEDmaxx GmbH , FA658CL ,Useful luminous flux, 1 055,Energy consumption in on-mode, 8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Monoprix , 3350033788510 ,Useful luminous flux, 250,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Qazqa , QL7001190 ,Useful luminous flux, 700,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Migross , 114529.01 ,Useful luminous flux, 470,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , A60-4-40K-TM ,Useful luminous flux, 440,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , C35-4-65K-TM ,Useful luminous flux, 440,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , G45-4-65K-TM ,Useful luminous flux, 440,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Anmossi , TY-3WG4-10 ,Useful luminous flux, 300,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 QLT , A416L6408270 ,Useful luminous flux, 29 400,Energy consumption in on-mode, 240,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Anmossi , TY-2WG4 ,Useful luminous flux, 200,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 EACLL , EAC00550RW ,Useful luminous flux, 945,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Stealth Light srl , ST-160L-1440-24-IP20-LW ,Useful luminous flux, 1 815,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , C13-N-M2 ,Useful luminous flux, 2 520,Energy consumption in on-mode, 21,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , C15-C-M ,Useful luminous flux, 1 350,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , C15-N-M ,Useful luminous flux, 1 350,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , C15-F-M ,Useful luminous flux, 1 350,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , C31-C-M2 ,Useful luminous flux, 2 000,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , C31-N-M2 ,Useful luminous flux, 2 000,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , C31-C-M3 ,Useful luminous flux, 3 100,Energy consumption in on-mode, 23,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Allesin , YT19055 ,Useful luminous flux, 800,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , G45-4-40K-E14-TM ,Useful luminous flux, 440,Energy consumption in on-mode, 4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Lumen At Work  , L-STP-2835-20-3000-IP20 ,Useful luminous flux, 11 000,Energy consumption in on-mode, 100,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Stealth Light srl , ST-160L-1440-24-IP54-NW ,Useful luminous flux, 1 740,Energy consumption in on-mode, 15,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Beilf , 518110-2  ,Useful luminous flux, 280,Energy consumption in on-mode, 2,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 EACLL , EAC00408WW ,Useful luminous flux, 585,Energy consumption in on-mode, 6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , PN-04-C-M2 ,Useful luminous flux, 2 650,Energy consumption in on-mode, 21,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , PN-04-F-M2 ,Useful luminous flux, 2 650,Energy consumption in on-mode, 21,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 UNIVERSO   , LP-26-F-M3 ,Useful luminous flux, 3 500,Energy consumption in on-mode, 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
