Type,Title,eclrow,eclrow1,eclrow2,Content,eclrow4,Image,eclrow5,eclrow7,eclrow8
 Mitsubishi Electric , VL-250CZPVU-R-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 265, m3/h 
 Mitsubishi Electric , VL-250CZPVU-L-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 265, m3/h 
 Mitsubishi Electric , VL-500CZPVU-R-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 530, m3/h 
 Mitsubishi Electric , VL-500CZPVU-L-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 530, m3/h 
 Kermi GmbH , x-well F270 LH ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 271, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 270, m3/h 
 Kermi GmbH , x-well F270 R ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 271, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 270, m3/h 
 Kermi GmbH , x-well F270 RH ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 271, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 270, m3/h 
 LG Electronics Inc. , LZ-H020GBA6 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 3,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 200, m3/h 
 LG Electronics Inc. , LZ-H015GBA6 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 3,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 150, m3/h 
 Kermi GmbH ,  x-well D13 with SmartControl Bluetooth and sensor PP1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 76, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 43, m3/h 
 Kermi GmbH , x-well D13 with SmartControl Bluetooth ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 129, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 43, m3/h 
 Kermi GmbH , x-well D13 with Bluetooth-Switch ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 179, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Kermi GmbH , x-well D13 with Bluetooth-Switch and sensor PP1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 179, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 43, m3/h 
 Mitsubishi Electric , VL-350CZPVU2-L-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 350, m3/h 
 Mitsubishi Electric , VL-350CZPVU2-R-EG ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 350, m3/h 
 OXYGEN , X-Air C200 v2 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 226, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 200, m3/h 
 Komfovent , DOMEKT-R-300-V-L1-F7/M5-C8-L/AZ ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 142,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 315, m3/h 
 Komfovent , DOMEKT-R-300-V-L1-M5/M5-C8-L/A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 148,2", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 320, m3/h 
 Komfovent , DOMEKT-R-300-V-L1-M5/M5-C8-L/AZ ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 142,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 328, m3/h 
 Komfovent , DOMEKT-R-300-V-R1-M5/M5-C8-L/AZ ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 142,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 328, m3/h 
 Komfovent , DOMEKT-R-300-V-L1-F7/M5-C8-L/A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 148,2", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 307, m3/h 
 Komfovent , DOMEKT-R-300-V-R1-F7/M5-C8-L/A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 148,2", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 307, m3/h 
 Komfovent , DOMEKT-R-300-V-R1-M5/M5-C8-L/A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 148,2", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 320, m3/h 
 Komfovent , DOMEKT-R-300-V-R1-F7/M5-C8-L/AZ ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 142,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 315, m3/h 
 Titon , HRV1.65 Q+ Eco HMB ,Typology, Unidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 344, m3/h 
 Titon , HRV1.65 Q+ Eco aura ,Typology, Unidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 344, m3/h 
 Pluggit GmbH , ASPH1.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 253, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 230, m3/h 
 GENVEX , ECO300 - ZA - H -FV ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO300 - ZA - H -FV - NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO300XL - ZA - H ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 389, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 GENVEX , ECO300XL - ZA -V ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 389, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 Pluggit GmbH , ASPV1.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 271, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 225, m3/h 
 Pluggit GmbH , ASPV3.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 298, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 GENVEX , ECO300XL - ZA - V - FV ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 389, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 GENVEX , ECO300XL - ZA - V - NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 389, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 ORCA , FLEXI 50 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 144, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 GENVEX , ECO300 - ZA - H - NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO300XL - ZA - V - FV - NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 389, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 GENVEX , ECO275 LIGHT - H - ZA ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 253, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO 375.2.TSZ.270.PL. ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 395, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 476, m3/h 
 GENVEX , ECO300 - ZA - H ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 Pluggit GmbH , ASPV2.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 253, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 360, m3/h 
 GENVEX , ECO300 - ZA - V - FV - NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO 400XL.270.PL.FV ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 337, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 655, m3/h 
 GENVEX , ECO 400XL.270.PL.NF.FV ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 337, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 655, m3/h 
 GENVEX , ECO 400XL.270.PL.NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 337, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 655, m3/h 
 GENVEX , ECO360 ZA ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 273, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 460, m3/h 
 GENVEX , ECO300XL - ZA - H -FV - NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 389, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 GENVEX , ECO300XL - ZA - H - NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 389, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 GENVEX , ECO275 - H - ZA ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 253, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO300 - ZA - V - FV ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO300 - ZA -V ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO300 - ZA - V - NF ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 445, m3/h 
 GENVEX , ECO 400XL.270.PL ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 337, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 655, m3/h 
 GENVEX , ECO300XL - ZA - H -FV ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 389, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 540, m3/h 
 Komfovent , DOMEKT-CF-700-H-L1-F7/M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 193,2", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 621, m3/h 
 Komfovent , DOMEKT-CF-700-H-L1-M5/M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 187,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 641, m3/h 
 Komfovent , DOMEKT-CF-700-H-R1-F7/M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 193,2", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 621, m3/h 
 Komfovent , DOMEKT-CF-700-H-R1-M5/M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 187,9", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 641, m3/h 
 SWEGON , MURAL PX 1000 FW ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 193, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 1 000, m3/h 
 Östberg , HERU 70 K EC -y1 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 322, m3/h 
 aerauliqa , QR340A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 300, m3/h 
 Komfovent , DOMEKT-R-700-F-L1-F7/M5-C6M-L/AZ ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 137,6", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 669, m3/h 
 DAPHNE FLAT , HRDF1-070HLCBE44-ES0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,7", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 780, m3/h 
 DAPHNE FLAT , HRDF1-070HLCBE44-XS0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,7", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 780, m3/h 
 DAPHNE FLAT , HRDF1-070HPCBE44-EE1C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,7", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 780, m3/h 
 DAPHNE FLAT , HRDF1-070HPCBE44-ES0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,7", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 780, m3/h 
 DAPHNE FLAT , HRDF1-070HPCBE44-XS0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,7", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 780, m3/h 
 Komfovent , DOMEKT-R-700-F-L1-M5/M5-C6M-L/A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 132,3", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 698, m3/h 
 Komfovent , DOMEKT-R-700-F-R1-F7/M5-C6M-L/AZ ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 137,6", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 669, m3/h 
 Komfovent , DOMEKT-R-700-F-R1-M5/M5-C6M-L/AZ ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 127, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 717, m3/h 
 DAPHNE FLAT , HRDF1-050HPCBE44-ES0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 526, m3/h 
 Komfovent , DOMEKT-R-700-F-L1-M5/M5-C6M-L/AZ ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 127, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 717, m3/h 
 Komfovent , DOMEKT-R-700-F-R1-F7/M5-C6M-L/A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 137,6", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 653, m3/h 
 DAPHNE FLAT , HRDF1-070HLCBE44-EE1C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,7", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 780, m3/h 
 DAPHNE FLAT , HRDF1-050HPCBE44-XS0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 526, m3/h 
 Komfovent , DOMEKT-R-700-F-L1-F7/M5-C6M-L/A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 137,6", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 653, m3/h 
 DAPHNE FLAT , HRDF1-050HLCBE44-EE1C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 526, m3/h 
 DAPHNE FLAT , HRDF1-050HLCBE44-ES0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 526, m3/h 
 DAPHNE FLAT , HRDF1-050HLCBE44-XS0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 526, m3/h 
 DAPHNE FLAT , HRDF1-050HPCBE44-EE1C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 1,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 526, m3/h 
 Komfovent , DOMEKT-R-700-F-R1-M5/M5-C6M-L/A ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 132,3", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 698, m3/h 
 Rossato Group - Rossato , ALTAIR RHV 400 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 422, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 350, m3/h 
 Rossato Group - Rossato , ALTAIR IN VSX 180 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 244, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 230, m3/h 
 DAPHNE FLAT , HRDF1-030HLCBE44-EE1C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 366, m3/h 
 DAPHNE FLAT , HRDF1-030HLCBE44-ES0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 366, m3/h 
 Rossato Group - Rossato , ALTAIR HRX 220 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 420, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 169, m3/h 
 Rossato Group - Rossato , ALTAIR HR 400 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 317, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 450, m3/h 
 Rossato Group - Rossato , ALTAIR RHVX 400 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 266, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 350, m3/h 
 Rossato Group - Rossato , ALTAIR IN VS 250 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 378, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 315, m3/h 
 DAPHNE FLAT , HRDF1-030HLCBE44-XS0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 366, m3/h 
 DAPHNE FLAT , HRDF1-030HPCBE44-ES0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 366, m3/h 
 Rossato Group - Rossato , ALTAIR HRX 400 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 291, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 450, m3/h 
 Rossato Group - Rossato , ALTAIR IN VSX 250 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 239, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 315, m3/h 
 Rossato Group - Rossato , ALTAIR CP 120 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 380, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 115, m3/h 
 Rossato Group - Rossato , ALTAIR HRX 150 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 410, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 140, m3/h 
 Rossato Group - Rossato , ALTAIR HRX 600 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 373, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 590, m3/h 
 Rossato Group - Rossato , ALTAIR IN VS 180 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 386, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 230, m3/h 
 DAPHNE FLAT , HRDF1-030HPCBE44-EE1C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 366, m3/h 
 DAPHNE FLAT , HRDF1-030HPCBE44-XS0C-0A0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 2, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 366, m3/h 
 Rossato Group - Rossato , ALTAIR HR 600 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 408, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 590, m3/h 
 Rossato Group - Rossato , ALTAIR HR 150 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 450, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 140, m3/h 
