Type,Title,eclrow,eclrow1,eclrow2,Content,eclrow4,Image,eclrow5,eclrow7,eclrow8
 Komfovent , DOMEKT-CF-300-V-R1-F7/M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 198,5", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 304, m3/h 
 Komfovent , DOMEKT-CF-200-V-R1-M5/M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 156,1", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 201, m3/h 
 Komfovent , DOMEKT-CF-200-V-L1-M5_M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 156,1", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 201, m3/h 
 Komfovent , DOMEKT-CF-200-V-R1-F7/M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 161,4", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 189, m3/h 
 Komfovent , DOMEKT-CF-300-V-R1-M5/M5-C6M-X ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 198,5", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 318, m3/h 
 Kermi GmbH , x-well S360 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 305, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 360, m3/h 
 Kermi GmbH , x-well S360 LH ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 305, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 360, m3/h 
 aerauliqa , QUANTUM NEXT 100 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 1, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 25, m3/h 
 Vallox GmbH , ValloPlus 270 MV ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 283,2", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 331, m3/h 
 flexit , Nordic CL2 RER art.nr800210 CTRL 0.65 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 238, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 274, m3/h 
 flexit , Nordic CL4 RER art.nr.800220 CTRL 0.65 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 218, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 406, m3/h 
 flexit , Nordic CL2 REL art.nr.800211 CTRL 0.65 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 239, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 281, m3/h 
 flexit , Nordic CL4 REL art.nr.800221 CTRL 0.85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 380, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 406, m3/h 
 flexit , Nordic CL4 REL art.nr.800221 CTRL 0.65 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 222, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 406, m3/h 
 flexit , Nordic CL3 RER art.nr.800200 CTRL 0.65 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 208, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 338, m3/h 
 flexit , Nordic CL3 REL art.nr.800201 CTRL 0.85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 355, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 328, m3/h 
 flexit , Nordic CL3 RER art.nr.800200 CTRL 0.85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 356, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 338, m3/h 
 flexit , Nordic CL3 REL art.nr.800201 CTRL 0.65 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 207, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 328, m3/h 
 flexit , Nordic CL4 RER art.nr.800220 CTRL 0.85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 373, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 406, m3/h 
 flexit , Nordic CL3 RER art.nr.800200 CTRL 0.95 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 456, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 338, m3/h 
 flexit , Nordic CL3 REL art.nr.800201 CTRL 0.95 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 454, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 328, m3/h 
 flexit , Nordic CL2 RER art.nr. 800210 CTRL 0.85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 407, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 274, m3/h 
 flexit , Nordic CL2 REL art.nr800211 CTRL 1.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 567, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 281, m3/h 
 flexit , Nordic CL4 REL art.nr.800221 CTRL 0.95 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 486, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 406, m3/h 
 Flexit , Nordic CL2 RER art.nr.800210 CTRL 1.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 564, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 274, m3/h 
 flexit , Nordic CL4 RER art.nr.800220 CTRL 1.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 517, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 406, m3/h 
 flexit , Nordic CL4 RER art.nr800220 CTRL 0.95 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 478, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 406, m3/h 
 flexit , Nordic CL2 RER art.nr.800210 CTRL 0.95 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 522, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 274, m3/h 
 flexit , Nordic CL2 REL art.nr.800211 CTRL 0.95 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 525, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 281, m3/h 
 flexit , Nordic CL2 REL art.nr.800211 CTRL 0.85 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 409, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 281, m3/h 
 flexit , Nordic CL4 REL art.nr.800221 CTRL 1.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 525, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 406, m3/h 
 flexit , Nordic CL3 REL art.nr.800201 CTRL 1.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 491, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 328, m3/h 
 flexit , Nordic CL3 RER art.nr.800200 CTRL 1.0 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 492, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightGreen.png,Maximum flow rate, 338, m3/h 
 LG Eelectronics , LZ-H025GBA5 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 4,8", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-Yellow.png,Maximum flow rate, 250, m3/h 
 Dantherm A/S , HCV300 PRO ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 298, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 180, m3/h 
 BSK Ventilation , BRHR-150 Slim ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 185, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 160, m3/h 
 Dantherm A/S , HCV400 PRO P2 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 217, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 240, m3/h 
 Kermi GmbH , x-well F150 ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 280, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 150, m3/h 
 Kermi GmbH , x-well S170 E ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 252, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 170, m3/h 
 Kermi GmbH , x-well S270 E ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption, 253, kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png,Maximum flow rate, 270, m3/h 
 Titon , HRV1.6 HE Q+ Eco aura (Filter Door) ,Typology, Bidirectional Ventilation Unit,Annual Electricity Consumption," 2,1", kWh electricity/annum ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png,Maximum flow rate, 290, m3/h 
