Type,Title,eclrow,Content,eclrow7,Content8,Image
 NVC International , NLED9518E 25W 3000K ,Useful luminous flux, 2 400,Energy consumption in on-mode, 25,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 NVC International , TLED380C 24W 3000K ,Useful luminous flux, 2 100,Energy consumption in on-mode, 24,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Lucide , 49098-05-30 ,Useful luminous flux, 450,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ELECTRUM , LUA IN TRIMLESS ,Useful luminous flux, 1 413,Energy consumption in on-mode, 19,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Fischer & Honsel GmbH , 201009 ,Useful luminous flux, 500,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 ENVIRO DEVELOPPEMENT , LD-18W Downlight Panel-surface ,Useful luminous flux, 1 793,Energy consumption in on-mode, 18,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 JOlight , JO37214305W1 ,Useful luminous flux, 366,Energy consumption in on-mode, 5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 CELER , 7100005990 ,Useful luminous flux, 2 269,Energy consumption in on-mode, 30,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Fischer & Honsel GmbH , 201024 ,Useful luminous flux, 1 450,Energy consumption in on-mode, 13,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 JOlight , JO400/LS ,Useful luminous flux, 290,Energy consumption in on-mode, 3,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 JOlight , JO3501441764WW ,Useful luminous flux, 673,Energy consumption in on-mode, 7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 JOlight , JO3501942404W1 ,Useful luminous flux, 1 098,Energy consumption in on-mode, 10,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Nelson Garden , 5567 ,Useful luminous flux, 2 500,Energy consumption in on-mode, 23,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
 Nelson Garden , 5567A ,Useful luminous flux, 2 500,Energy consumption in on-mode, 23,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png
