Unnamed: 0,Type,Brand,Model,Type_consumption,Consumption,Label,Other,Id
5445.0,Dishwasher,Bosch,SMV4HVX31E,"Energy consumption [per 100 cycles, based on the eco programme]",94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13.0,0
5446.0,Dishwasher,Bosch,SMV4HCX60E,"Energy consumption [per 100 cycles, based on the eco programme]",95.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14.0,0
5447.0,Dishwasher,Siemens,SN23II08TE,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5448.0,Dishwasher,Siemens,SN23HI42TE,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5449.0,Dishwasher,Bosch,SMS2HTI72E,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5450.0,Dishwasher,Bosch,SMV2ITX22E,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5451.0,Dishwasher,Bosch,SMV4HBX56E,"Energy consumption [per 100 cycles, based on the eco programme]",94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13.0,0
5452.0,Dishwasher,Bosch,SMV4ITX11E,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5453.0,Dishwasher,Siemens,SN63HX36VE,"Energy consumption [per 100 cycles, based on the eco programme]",94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13.0,0
5454.0,Dishwasher,SHARP,QW-GX13F47EW-FR,"Energy consumption [per 100 cycles, based on the eco programme]",94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13.0,0
5455.0,Dishwasher,Bosch,SPI4HMS61E,"Energy consumption [per 100 cycles, based on the eco programme]",76.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,10.0,0
5456.0,Dishwasher,Bosch,SMU4HBS56E,"Energy consumption [per 100 cycles, based on the eco programme]",94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13.0,0
5457.0,Dishwasher,Bosch,SMV2ITX16E,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5458.0,Dishwasher,Bosch,SMV4HTX31E,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5459.0,Dishwasher,Bosch,SMV2ITX48E,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5460.0,Dishwasher,Siemens,SN23HI42VE,"Energy consumption [per 100 cycles, based on the eco programme]",94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13.0,0
5461.0,Dishwasher,Siemens,SN61IX09TE,"Energy consumption [per 100 cycles, based on the eco programme]",92.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12.0,0
5462.0,Dishwasher,Siemens,SX73HX42VE,"Energy consumption [per 100 cycles, based on the eco programme]",94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13.0,0
5463.0,Dishwasher,Bosch,SMI4HBS56E,"Energy consumption [per 100 cycles, based on the eco programme]",94.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13.0,0
5464.0,Dishwasher,Bosch,SMS4HCI60E,"Energy consumption [per 100 cycles, based on the eco programme]",95.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14.0,0
5465.0,Dishwasher,Fagor,3LVF-435X,"Energy consumption [per 100 cycles, based on the eco programme]",100.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/G-Left-Red-WithAGScale.png,10.0,0
5466.0,Dishwasher,Miele,G 5222 SC Selection,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5467.0,Dishwasher,Miele,G 5273 SCVi Active Plus E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5468.0,Dishwasher,Miele,G 7178 SCVi XXL E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5469.0,Dishwasher,Gorenje,GV661C60,"Energy consumption [per 100 cycles, based on the eco programme]",76.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,16.0,0
5470.0,Dishwasher,Miele,G 5278 SCVi XXL Active Plus E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5471.0,Dishwasher,Miele,G 7323 SC AutoDos E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5472.0,Dishwasher,Miele,G 7173 SCVi E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5473.0,Dishwasher,Miele,G 5223 SC Front Active Plus E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5474.0,Dishwasher,Miele,G 5223 SC Active Plus E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5475.0,Dishwasher,Miele,G 7323 SCU AutoDos E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5476.0,Dishwasher,Miele,G 5223 SC Excellence,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5477.0,Dishwasher,Miele,G 7373 SCVi Excellence,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5478.0,Dishwasher,Miele,G 7373 SCVi AutoDos E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5479.0,Dishwasher,HOTPOINT/ARISTON,HBO 3T141 W B,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5480.0,Dishwasher,Miele,G 5223 SCU Active Plus E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5481.0,Dishwasher,Miele,G 7172 SCVi Selection,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5482.0,Dishwasher,Miele,G 5072 SCVi Active S,"Energy consumption [per 100 cycles, based on the eco programme]",95.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14.0,0
5483.0,Dishwasher,Bosch,SPI4HKS53E,"Energy consumption [per 100 cycles, based on the eco programme]",70.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9.0,0
5484.0,Dishwasher,Beko,DVS04X20X 7682453835,"Energy consumption [per 100 cycles, based on the eco programme]",76.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,10.0,0
5485.0,Dishwasher,Miele,G 5077 SCVi XXL Active S,"Energy consumption [per 100 cycles, based on the eco programme]",95.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14.0,0
5486.0,Dishwasher,BAUKNECHT,BKBC 3C26 X (2),"Energy consumption [per 100 cycles, based on the eco programme]",95.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14.0,0
5487.0,Dishwasher,HOTPOINT/ARISTON,HBO 3T141 W,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5488.0,Dishwasher,Siemens,SR45ZS09MS,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5489.0,Dishwasher,Siemens,SR45ZS11ME,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5490.0,Dishwasher,Bosch,SPU4ELS00D,"Energy consumption [per 100 cycles, based on the eco programme]",63.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,9.0,0
5491.0,Dishwasher,Siemens,SR43ES00LD,"Energy consumption [per 100 cycles, based on the eco programme]",63.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,9.0,0
5492.0,Dishwasher,Siemens,SR53ES00LD,"Energy consumption [per 100 cycles, based on the eco programme]",63.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,9.0,0
5493.0,Dishwasher,Bosch,SPU2HKS41E,"Energy consumption [per 100 cycles, based on the eco programme]",70.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9.0,0
5494.0,Dishwasher,Bosch,SPI2HKS41E,"Energy consumption [per 100 cycles, based on the eco programme]",70.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9.0,0
5495.0,Dishwasher,Siemens,SR23HW64KE,"Energy consumption [per 100 cycles, based on the eco programme]",70.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9.0,0
5496.0,Dishwasher,Bosch,SPI2XMS01E,"Energy consumption [per 100 cycles, based on the eco programme]",84.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,10.0,0
5497.0,Dishwasher,Bosch,SPU2XMS01E,"Energy consumption [per 100 cycles, based on the eco programme]",84.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,10.0,0
5498.0,Dishwasher,SHARP,QW-NA25F44BW-IT,"Energy consumption [per 100 cycles, based on the eco programme]",65.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png,14.0,0
5499.0,Dishwasher,Siemens,SR65ZX01MD,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5500.0,Dishwasher,﻿ Siemens,SR75ZX02ME,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5501.0,Dishwasher,Siemens,SN45ZS10CS,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5502.0,Dishwasher,Siemens,SN43EW11AS,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5503.0,Dishwasher,Bosch,SPS6ZMI35E,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5504.0,Dishwasher,Siemens,SN45ZS70CS,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5505.0,Dishwasher,Siemens,SN65ZX49CE,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5506.0,Dishwasher,Siemens,SR65ZX16ME,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5507.0,Dishwasher,Siemens,SR55ZS11ME,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5508.0,Dishwasher,Siemens,SN45ZW10CS,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5509.0,Dishwasher,Bosch,SMU4EDI73S,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5510.0,Dishwasher,Siemens,SN43EI11AS,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5511.0,Dishwasher,Siemens,SX75ZX05CE,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5512.0,Dishwasher,TOSHIBA,DW-14F2BS,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5513.0,Dishwasher,Bosch,SMU4EDW73S,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5514.0,Dishwasher,Bosch,SPS6ZMW35E,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5515.0,Dishwasher,Siemens,SN63EX14CE,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5516.0,Dishwasher,Bosch,SPV6ZMX00D,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5517.0,Dishwasher,Siemens,SN45ZS05CS,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5518.0,Dishwasher,Bosch,SMV6ZDX49E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5519.0,Dishwasher,Bosch,SPI6ZMS35E,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5520.0,Dishwasher,Siemens,SR45ZW09MS,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5521.0,Dishwasher,Siemens,SR55ZS00MD,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5522.0,Dishwasher,Siemens,SN43EW17CS,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5523.0,Dishwasher,Bosch,SBT6ZCX49E,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5524.0,Dishwasher,Siemens,SN45ZW05CS,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5525.0,Dishwasher,Siemens,SN75ZX10CE,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5526.0,Dishwasher,Miele,G 5210 Front Active Plus,"Energy consumption [per 100 cycles, based on the eco programme]",73.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5527.0,Dishwasher,Siemens,SR65ZX23ME,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5528.0,Dishwasher,Bosch,SMV4EDX17E,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5529.0,Dishwasher,Siemens,SN43EI17CS,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5530.0,Dishwasher,Bosch,SPU6ZMW10S,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5531.0,Dishwasher,Bosch,SPU6ZMS35E,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5532.0,Dishwasher,Siemens,SR25ZI11ME,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5533.0,Dishwasher,Siemens,SR65ZX11ME,"Energy consumption [per 100 cycles, based on the eco programme]",59.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10.0,0
5534.0,Dishwasher,Siemens,SN73EX17CE,"Energy consumption [per 100 cycles, based on the eco programme]",74.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,13.0,0
5535.0,Dishwasher,TOSHIBA,DW-14B,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5536.0,Dishwasher,Siemens,SN45ZW70CS,"Energy consumption [per 100 cycles, based on the eco programme]",75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14.0,0
5537.0,Dishwasher,Bosch,SPS6EMW23E,"Energy consumption [per 100 cycles, based on the eco programme]",67.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,10.0,0
5538.0,Dishwasher,Bosch,SPU4EMI28S,"Energy consumption [per 100 cycles, based on the eco programme]",67.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,10.0,0
5539.0,Dishwasher,Siemens,SN43HW88CS,"Energy consumption [per 100 cycles, based on the eco programme]",85.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14.0,0
