,Brand,Model,Contenido2,Consumo en Ciclo Completo,Label Ciclo Completo,Consumo en Ciclo de Lavado,Label Ciclo de Lavado
349, Haier , HWDQ90B416FWB-S ,Consumo de energía ponderado (por 100 ciclos),266,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
350, AEG , L8WAD164C 914605257 ,Consumo de energía ponderado (por 100 ciclos),356,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,51,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
351, LG Electronics , F4DE408AIDD ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
352, LG Electronics , F4DV328S0U ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
353, LG Electronics , F4DV3108S1W ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
354, LG Electronics , F4DV308S1E ,Consumo de energía ponderado (por 100 ciclos),359,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
355, Iberna , IBD 3752DE/1-11 ,Consumo de energía ponderado (por 100 ciclos),393,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,69,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
356, AEG , L7WBL962E2 914605168 ,Consumo de energía ponderado (por 100 ciclos),376,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
357, AEG , L7WEG963E2 914605169 ,Consumo de energía ponderado (por 100 ciclos),376,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
358, AEG , L7WEE962 914605177 ,Consumo de energía ponderado (por 100 ciclos),376,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
359, AEG , L7WEE966S 914605166 ,Consumo de energía ponderado (por 100 ciclos),376,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
360, AEG , L7WEE965R 914605173 ,Consumo de energía ponderado (por 100 ciclos),376,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
361, AEG , L7WT960EX 914605174 ,Consumo de energía ponderado (por 100 ciclos),376,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
362, HOOVER , H5DPB4149AMBC-S ,Consumo de energía ponderado (por 100 ciclos),580,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,56,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
363, Hoover , H5DPB6106AMBC-S ,Consumo de energía ponderado (por 100 ciclos),308,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,51,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
364, AEG , L7WSP964E2 914605170 ,Consumo de energía ponderado (por 100 ciclos),376,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,49,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
365, AEG , L7WEE862S 914605178 ,Consumo de energía ponderado (por 100 ciclos),376,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,54,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
366, CONFORTEC , CF8614LSINV ,Consumo de energía ponderado (por 100 ciclos),360,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
367, TELEFAC , TF10715LSINV ,Consumo de energía ponderado (por 100 ciclos),343,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
368, Bosch , WNA134V0 ,Consumo de energía ponderado (por 100 ciclos),313,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,63,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
