Brand,Model,Imagen,Consumo_energético_por_ciclo_Modo_convencional__kWh_ciclo,Consumo_energético_por_ciclo_Modocirculacion_forzada__kWh_ciclo,Consumo_energético_por_ciclo_Modo_convencional_GAS__MJ_ciclo,Consumo_energético_por_ciclo_Modo_circulación_forzada_GAS__MJ_ciclo
 SMEG , CP60IX9 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,09"," 0,8"," 3,92"," 2,88"
 Siemens , HE23GU511 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,95"," 0,82", -, -
 Siemens , HE23GU512 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,95"," 0,82", -, -
 Siemens , HE20AB211S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,93"," 0,84", -, -
 BAUKNECHT , ELCPE 7263/IN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,67", -, -
 AEG , BP9314001M 944187056 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,79", -, -
 Rangemaster , ELS100EIGB/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , ELS100EIWH/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , ELS110EIWH/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , ELS100EIGB/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , ELS100EICR/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , ELS110EIGB/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , ELS110EIRD/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , PDL110EISS/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , PDL110EIGB/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , PDL110EICY/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Rangemaster , ELS100EISS/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , ELS110EISS/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , PDL110EIGB/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , PDL110EICR/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , PDL110EICY/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , PDL110EIWH/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , ELS110EIWH/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , ELS110EICA/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , ELS100EIRD/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , ELS110EIGB/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , ELS110EIRD/ ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Rangemaster , PDL110EISS/C ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,01"," 0,88", -, -
 Falcon , ELS100EIRD/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , ELS110EISS/-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
 Falcon , PDL110EIWH/C-EU ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png, -," 0,88", -, -
