Brand,Model,Imagen,Consumo_energético_por_ciclo_Modo_convencional__kWh_ciclo,Consumo_energético_por_ciclo_Modocirculacion_forzada__kWh_ciclo,Consumo_energético_por_ciclo_Modo_convencional_GAS__MJ_ciclo,Consumo_energético_por_ciclo_Modo_circulación_forzada_GAS__MJ_ciclo
 Candy , FIDC N686 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,8", -, -
 Samsung , NV7B41201DK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5755SDS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B41307DS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B6795JDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B7997AAA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5655SDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B4550VDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B4550VDS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B6799JAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5775QDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B6675CDK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B44502DK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B41307DK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Exquisit , EBE76-9-H-020 weiss ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,91"," 0,81", -, -
 Exquisit , EBE76-9-H-020 schwarz ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,91"," 0,81", -, -
 Exquisit , EBE76-9-H-020 inox ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,91"," 0,81", -, -
 Hoover , HOC5S747INSWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 IGNIS , AKB 40102 IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Candy , FIDC N655 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 Siemens , HR379GCS0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Siemens , HR579G5S0S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Bosch , HBA374BB1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Samsung , NQ5B7993AAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,61", -, -
 SMEG , SOP6902S2PX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 Samsung , NQ5B7993AAA ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,61", -, -
 Hoover , HOC5B3448INWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 IGNIS , NFWS 840 H IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,89"," 0,69", -, -
 Hoover , HOC5M7478INWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 Rosieres , RFC30P5879PIN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,1"," 0,8", -, -
 Rosieres , RFC3OP5579IN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,09"," 0,85", -, -
 WHIRLPOOL , AKZ9 648 IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,9"," 0,69", -, -
 SMEG , SO6104S4PG ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png," 1,09"," 0,51"," 3,92"," 1,84"
 SMEG , SO6102S3PG ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png," 0,96"," 0,51"," 3,46"," 1,84"
 SMEG , SO4604S4PNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png," 0,8"," 0,44"," 2,88"," 1,58"
 SMEG , SO6101TN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,15"," 0,68"," 4,14"," 2,45"
 SMEG , SOP6401TS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 SMEG , SOP6401TN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 SMEG , SFPR9606TPNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,74"," 1,29"," 2,66"," 4,64"
 SMEG , SOP6606S2PNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 DE DIETRICH , DFP7100X-1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,7"," 1,1", -, -
 SMEG , SOP6104S2PG ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 SMEG , SOP6101TNO ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 IGNIS , AKB 20102 IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,81"," 0,9", -, -
 Candy , OCI X602 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,67", -, -
 Candy , FIDC X605 L/1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,67", -, -
 Candy , FIDC N612 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 Candy , FIDC N100/1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,8", -, -, -
 SMEG , SOP6900TX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,09"," 0,8"," 3,92"," 2,88"
 SMEG , SO4104S4PS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png," 0,8"," 0,44"," 2,88"," 1,58"
 SMEG , SOP6401TX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 SMEG , SOP6604S2PNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 SMEG , SO6101TS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,15"," 0,68"," 4,14"," 2,45"
 SMEG , SOP6902TPP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 SMEG , SOP6604TPNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 Bosch , HBA4330B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Haier , HWO60SM4FE9XHP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 Haier , HWO60SM6FE9XHP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 Haier , HWO60SM6FS9XHP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 Rosieres , RFC5M749PN WIFI ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 IGNIS , NFW 530 IX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,79"," 0,88", -, -
 MORRIS , MOF-64591 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,78", -, -
 GORENJE , BPSA6747DGWI ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,97"," 0,71", -, -
 Siemens , HB978GNB1B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , CS736G1B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,73"," 0,61", -, -
 Siemens , HS736G3B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 SAUTER , SOPB624LB-1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,7"," 1,1", -, -
 Siemens , HB736G1B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HS958GDD1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HB974GLB1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HS936GCB1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HB774G1B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HB776G1B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HR976GMB1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HB734G1W1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HS758G3B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HS958GED1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HS958KDB1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , HB734G1B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , CS958GCB1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,73"," 0,61", -, -
 Siemens , HS736G1B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , CS936GCB1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,73"," 0,61", -, -
 Siemens , CS958GDD1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,73"," 0,61", -, -
 Siemens , HB517GCS1S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Bosch , HBA2140B0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Siemens , HE317GAS0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Bosch , HEA517BS0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Bosch , HEG378AS1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Bosch , HRA4340B1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Junker , JH4306062 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 BERTAZZONI , J6..5VH1DE.00 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,83", -, -
 BERTAZZONI , J6..5VM1XE.00 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,83", -, -
 BERTAZZONI , J6..6VH1NE.00 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,83", -, -
 BERTAZZONI , J6..6EH1JE.00 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,83", -, -
 BERTAZZONI , J6..6VM1XE.M7 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,83", -, -
 LAGERMANIA 1882 , J6..6VG1GE.00 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,83", -, -
 Bosch , HBA3540B0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Bosch , HBG4790S0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,81", -, -
 Bosch , HBS233BB0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Bosch , HEA517BS1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,81", -, -
 Rosieres , RFC3O5679IN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,09"," 0,85", -, -
 Rosieres , RFC3O0879IN WF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,09"," 0,85", -, -
 Rosieres , RFC3O3351IN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,82", -, -
 Bosch , HLS59C352 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,79", -, -
 Siemens , HR876G2B0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,87"," 0,69", -, -
 Siemens , CS856GPB0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,73"," 0,61", -, -
 Candy , FCM676X ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,78", -, -
 Candy , FCMX676 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,78", -, -
 Candy , FCM676B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,78", -, -
 MPM , MPM-54-KGF-21 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,33", -," 4,8", -
 MPM , MPM-54-KGF-21/B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,33", -," 4,8", -
 Candy , FCM665X ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,67", -, -
 Candy , FCM665VX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,67", -, -
 Anova , AN900-30 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,59"," 0,55", -, -
 Candy , FCNE825XRWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 Candy , FCNE825XRLWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 Candy , FCM665B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,67", -, -
 Candy , FCNE896XRLWF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,1"," 0,8", -, -
 Exquisit , EHE 185-1.2 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,77"," 0,72", -, -
 Anova , AN900-20 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,59"," 0,55", -, -
 Candy , FIDC X602 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,67", -, -
 Rosieres , RFC5M0479PN WIFI ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 Candy , FCM855B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 Hoover , HOC5M747INWIFI ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 SMEG , SOP6301TN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,09"," 0,68"," 3,92"," 2,45"
 Rosieres , RFC5M594PN WIFI ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,1"," 0,8", -, -
 SMEG , SF69M3TNO ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,15"," 0,8"," 4,14"," 2,88"
 Candy , FCM856B ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,1"," 0,8", -, -
 Haier , HWO60SM4FS8BH ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,1"," 0,68", -, -
 Haier , HWO45NM4SXB1Q ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,59", -, -
 Haier , HWO45NM6FXB1Q ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,59", -, -
 Hoover , HSO45C5S0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,59", -, -
 Haier , HWO45NM6SXB1Q ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,59", -, -
 Haier , HWO45NM4FXB1Q ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,59", -, -
 Hoover , HSO45C5M0 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,59", -, -
 Hoover , HSO45C5S4 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,59", -, -
 De'Longhi , FR-NSM 7 NL RF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,82", -, -
 De'Longhi , FR-NSM 7 ML RF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,86"," 0,82", -, -
 Candy , FIDC X665/1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,67", -, -
 Candy , FIDC X655 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,68", -, -
 Rosieres , RFXC5M0479PN WF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,98"," 0,72", -, -
 Candy , FIDC B265 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,8", -, -, -
 Candy , FCID X100 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,8", -, -, -
 Candy , FICD X676 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,78", -, -
 Rosieres , RFC5S5979PN WIFI ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,1"," 0,8", -, -
 Samsung , NV7B40204CK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5785JAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5760WBK/U5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B41403BS/U5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5640TBK/U5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5755SBS/U5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5785KAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5685BAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5675WCK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5685AAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NQ5B6793AAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png, -," 0,61", -, -
 De'Longhi , FR-SGGX 554 N ED ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,43", -," 5,14", -
 De'Longhi , FR-SGGW 554 N ED ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,43", -," 5,14", -
 Samsung , NV7B5740TBS/U5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5640SBS/U5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5770WBK/U5 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B6685AAN ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 DE DIETRICH , DFP8363BB-1 ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,7"," 1,1", -, -
 Samsung , NV7B6785JAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Neff , B6ACH7AN0A ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,04"," 0,81", -, -
 KENWOOD , CK 419 SLE ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 1,12"," 0,8", -, -
 MORA , VTCS787DB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,97"," 0,71", -, -
 MORA , VTS546EX ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,82", -, -
 MORA , VT544EXB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,82", -, -
 Samsung , NV7B5655SCK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B5655SCS ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 DAVOLINE , DAE 601 ANTHRACITE ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,99"," 0,79", -, -
 SMEG , SO4606S4PNR ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png," 0,8"," 0,44"," 2,88"," 1,58"
 De'Longhi , DLM 8L S ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,8", -, -
 De'Longhi , FLM 7L N ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,8", -, -
 De'Longhi , FLM 6L X ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,98"," 0,78", -, -
 HISENSE , HBF22ILP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,97"," 0,71", -, -
 GORENJE , GBF22ILP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,97"," 0,71", -, -
 HISENSE , HBF22ILPP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,97"," 0,71", -, -
 GORENJE , GBF22ILPP ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,97"," 0,71", -, -
 GORENJE , GBF22ILPMF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,97"," 0,71", -, -
 HISENSE , HBF22ILPMF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 0,97"," 0,71", -, -
 HISENSE , HBF22ILMF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,82", -, -
 GORENJE , GBF22ILMF ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png," 0,97"," 0,82", -, -
 Samsung , NV7B4140VAK ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
 Samsung , NV7B4520ZAB ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png," 1,05"," 0,71", -, -
