Type,Title,eclrow5,Content6,Image
 ZENITH , ZWMI7120 7179242900 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 HYUNDAI , LBHN-105F1A ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 60,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 HYUNDAI , WMHN-106F2CS ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 HYUNDAI , WMHN-107F4 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 69,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Candy , CSS158TWMBE-47 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 47,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Hoover , HW 410AMBCRE/1-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 51,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png
 Thomson , TW1480IX ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 ALBALUX , AXGIW149A+++ ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 54,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Candy , CSSD1413TWMCBE47 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 64,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 CANDY , CSTG 38TMCE/1-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Samsung , WW80T534DAT ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 55,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 CANDY , CO4 1275TWBE/1-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 CANDY , CO4 1265TWBE/1-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 56,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png
 BAUKNECHT , BI WMBG 71483E DE N ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 69,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 CANDY , CS4 1262DBE/1-S ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 65,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png
 Candy , CO12103DBBE/1-47 ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 90,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 Samsung , WW7TTA049EX ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 52,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png
 Helkama , HPKT1272EU ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 CURTISS , MLFN1260iE ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 74,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
 LISTO , 8008913 LF612-L2B ,"Weighted energy consumption [per 100 cycles, eco 40-60 programme]", 64,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png
