Title,Type,Image,Image1,eclbuttonprimary,eclrow,eclrow2,eclrow3,eclrow4,Type5
 NDB 10725 WA FR , HOTPOINT/ARISTON ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 CV90J7S2BA , LG Electronics ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 F4DV710H1EA , LG Electronics ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 W4WV90961C , LG Electronics ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 WD814LE , HISENSE ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 ROW 4854DWMT/1-S , Candy ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 NDD 11725 DA EE , HOTPOINT/ARISTON ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 FFWDB 976258 BV SPT , WHIRLPOOL ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 FFWDB 976258 SV EE , WHIRLPOOL ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 WATR 97260 N , BAUKNECHT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-MediumGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 NDB 11724 W UK , HOTPOINT ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 WD70AAS41WE , Samsung ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
 WN34A100ES , Siemens ,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png, Details ,Rated capacity,Weighted energy consumption [per 100 cycles],Overall dimensions,Airborne acoustical noise emissions during the spinning phase for the eco 40-60 washing cycle at rated washing capacity, More 
