,Type,Brand,Model,Type_consumption,Consumption,Label,Other
3124,Dishwasher, Siemens , SN23HW00UN ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3125,Dishwasher, exquisit , EGSP6012-EB-030E inox ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3126,Dishwasher, FINLUX , FD-I14B60A130EU ,"Energy consumption [per 100 cycles, based on the eco programme]",0.94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13
3127,Dishwasher, ORIMA , OR 12-753 W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3128,Dishwasher, TEKA , DFI 46950 TTM ,"Energy consumption [per 100 cycles, based on the eco programme]",0.97,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,15
3129,Dishwasher, TEKA , DFI 74910 TTM ,"Energy consumption [per 100 cycles, based on the eco programme]",0.81,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,11
3130,Dishwasher, TEKA , DFS 26611 WH ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3131,Dishwasher, TEKA , DFS 26658 SS ,"Energy consumption [per 100 cycles, based on the eco programme]",0.94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13
3132,Dishwasher, TEKA , DFS 24650 WH ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
3133,Dishwasher, TEKA , DFS 24657 WH ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
3134,Dishwasher, hanseatic , HGU4582E97736BI ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
3135,Dishwasher, Siemens , SN23HW42VE ,"Energy consumption [per 100 cycles, based on the eco programme]",0.94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13
3136,Dishwasher, Bosch , SMI2ITS61E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3137,Dishwasher, Siemens , SN53HS00UN ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3138,Dishwasher, exquisit , GSP9109-030E weiss ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
3139,Dishwasher, TEKA , DFI 46700 TTM ,"Energy consumption [per 100 cycles, based on the eco programme]",0.95,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14
3140,Dishwasher, TEKA , DFS 26610 SS ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3141,Dishwasher, TEKA , DFS 26611 SS ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3142,Dishwasher, TEKA , DFS 26657 WH ,"Energy consumption [per 100 cycles, based on the eco programme]",0.94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13
3143,Dishwasher, TEKA , DFS 26659 WH ,"Energy consumption [per 100 cycles, based on the eco programme]",0.94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13
3144,Dishwasher, TEKA , DSI 46750 SS ,"Energy consumption [per 100 cycles, based on the eco programme]",0.94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13
3145,Dishwasher, hanseatic , HG6085E127635S ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3146,Dishwasher, WHIRLPOOL , WSIC 3M27 C UK N ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,10
3147,Dishwasher, LG Electronics , DB325TXS ,"Energy consumption [per 100 cycles, based on the eco programme]",0.95,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14
3148,Dishwasher, TEKA , DFS 16610 SS ,"Energy consumption [per 100 cycles, based on the eco programme]",1.02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,12
3149,Dishwasher, Siemens , SN23IW12TE ,"Energy consumption [per 100 cycles, based on the eco programme]",1.02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,12
3150,Dishwasher, TEKA , DFS 16610 WH ,"Energy consumption [per 100 cycles, based on the eco programme]",1.02,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,12
3151,Dishwasher, WHIRLPOOL , WBO 3O33 PL X ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
3152,Dishwasher, BAUKNECHT , BUO 3C33 C X ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
3153,Dishwasher, Scandomestic A/S  , SFO 4102 W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
3154,Dishwasher, BAUKNECHT , BSIO 3O35 PFE X (2) ,"Energy consumption [per 100 cycles, based on the eco programme]",0.67,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,10
3155,Dishwasher, COBAL , LVP60S ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3156,Dishwasher, COBAL , CLV45S ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
3157,Dishwasher, INDESIT , DBC 3C26 X ,"Energy consumption [per 100 cycles, based on the eco programme]",0.95,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14
3158,Dishwasher, COBAL , LVP60 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3159,Dishwasher, COBAL , CLV45W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
3160,Dishwasher, COBAL , LVP45S ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,10
3161,Dishwasher, COBAL , LVFULL60I ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3162,Dishwasher, CANDY , CSF 5E5DFW1-80 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.96,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,15
3163,Dishwasher, COBAL , LVP45 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,10
3164,Dishwasher, COBAL , LVSI60I ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3165,Dishwasher, COBAL , CLVFI60 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3166,Dishwasher, Bosch , SMS4HCW60E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.95,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14
3167,Dishwasher, COBAL , CLV60S ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3168,Dishwasher, Beko , DFS26121X ,"Energy consumption [per 100 cycles, based on the eco programme]",0.81,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,11
3169,Dishwasher, COBAL , CLV60W ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3170,Dishwasher, Siemens , SX65EX68CE ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
3171,Dishwasher, Bosch , SMI4HBS48E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.84,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,13
3172,Dishwasher, Beko , BDIN14320 7617503977 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.94,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,13
3173,Dishwasher, De'Longhi , DDW45S20 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.67,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,10
3174,Dishwasher, Pelgrim , GVW100L ,"Energy consumption [per 100 cycles, based on the eco programme]",0.67,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,10
3175,Dishwasher, De'Longhi , DDW45W20 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.67,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,10
3176,Dishwasher, PRIVILEG , RSBC 3M19 X (2) ,"Energy consumption [per 100 cycles, based on the eco programme]",0.84,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,10
3177,Dishwasher, HOTPOINT , HIE 2B19 UK ,"Energy consumption [per 100 cycles, based on the eco programme]",1.04,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,13
3178,Dishwasher, Rosieres , RDSN 1D530PX-47E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.96,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,15
3179,Dishwasher, ARCTIC , BI45A++ ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,10
3180,Dishwasher, Zanussi , ZSSN121X1 911069015 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,9
3181,Dishwasher, WHIRLPOOL , WSIE 2B19 C (2) ,"Energy consumption [per 100 cycles, based on the eco programme]",0.84,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,10
3182,Dishwasher, AEG , FSK93707P 911438417 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.86,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,15
3183,Dishwasher, BAUKNECHT , BSFO 3O23 PF (2) ,"Energy consumption [per 100 cycles, based on the eco programme]",0.76,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,10
3184,Dishwasher, ETNA , VW47BM ,"Energy consumption [per 100 cycles, based on the eco programme]",0.92,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,12
3185,Dishwasher, Zanussi , ZSLN1211 911079068 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,9
3186,Dishwasher, Zanussi , ZDSN151X1 911529237 ,"Energy consumption [per 100 cycles, based on the eco programme]",1.04,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,13
3187,Dishwasher, hanseatic , HG4585C10T7636EI ,"Energy consumption [per 100 cycles, based on the eco programme]",0.59,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,10
3188,Dishwasher, GRUNDIG , GNV 44931 7645363977 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.86,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,15
3189,Dishwasher, hanseatic , HGTI4582D10J7736ES ,"Energy consumption [per 100 cycles, based on the eco programme]",0.67,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,10
3190,Dishwasher, BAUKNECHT , IBIO 3C33 E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.85,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,14
3191,Dishwasher, ECG , EDF 4527 QWE ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
3192,Dishwasher, Candy , CDSN 2D520PB/E ,"Energy consumption [per 100 cycles, based on the eco programme]",0.96,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,15
3193,Dishwasher, Balay , 3VT4030NA ,"Energy consumption [per 100 cycles, based on the eco programme]",0.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,9
3194,Dishwasher, Balay , 3VN4010IA ,"Energy consumption [per 100 cycles, based on the eco programme]",0.78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,9
3195,Dishwasher, Balay , 3VN4010BA ,"Energy consumption [per 100 cycles, based on the eco programme]",0.78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,9
3196,Dishwasher, Balay , 3VT4010NA ,"Energy consumption [per 100 cycles, based on the eco programme]",0.78,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,9
3197,Dishwasher, BAUKNECHT , BCIF 5O41 PLEGTS ,"Energy consumption [per 100 cycles, based on the eco programme]",0.75,https://eprel.ec.europa.eu/assets/images/label/thumbnails/C-Left-LightGreen-WithAGScale.png,14
3198,Dishwasher, ELEKTRABREGENZ , GS 53455 X 7695961077 ,"Energy consumption [per 100 cycles, based on the eco programme]",0.95,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,14
