,Type,Brand,Model,Type_consumption,Consumption,Label,Other
11243,TV/Monitor, Walker , 43WPS20P ,W,0.042,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
11244,TV/Monitor, AOPEN , 32HC2QUR ,W,0.06, G,HDR
11245,TV/Monitor, JVC , LT-43VU8000 ,W,0.088, G,HDR
11246,TV/Monitor, PHILIPS , 242B1V ,W,0.0121,https://eprel.ec.europa.eu/assets/images/label/thumbnails/D-Left-Yellow-WithAGScale.png,SDR
11247,TV/Monitor, ASUS , XG27WQ ,W,0.043, G,HDR
11248,TV/Monitor, acer , ED322QR ,W,0.035,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
11249,TV/Monitor, Panasonic , TX-43HXW944 ,W,0.115, G,HDR
11250,TV/Monitor, TOSHIBA , 32L2063DB ,W,0.032,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
11251,TV/Monitor, TOSHIBA , 32W3063DG ,W,0.032,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
11252,TV/Monitor, acer , ED322Q ,W,0.032,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
11253,TV/Monitor, TCL , 65C715X1 ,W,0.204, G,HDR
11254,TV/Monitor, TCL , 55C711X1 ,W,0.136, G,HDR
11255,TV/Monitor, TCL , 65AC710X1 ,W,0.204, G,HDR
11256,TV/Monitor, TCL , 65C711X1 ,W,0.204, G,HDR
11257,TV/Monitor, TCL , 55C715X1 ,W,0.136, G,HDR
11258,TV/Monitor, TCL , 55AC710X1 ,W,0.136, G,HDR
11259,TV/Monitor, ViewSonic , VS18131 ,W,0.018,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
11260,TV/Monitor, LUXOR (V.UK) , LUX0132010/02 ,W,0.032,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
11261,TV/Monitor, Panasonic , TX-50HXT886 ,W,0.101, G,HDR
11262,TV/Monitor, Panasonic , TX-50HX820E ,W,0.101, G,HDR
11263,TV/Monitor, manta , 50LUA120D ,W,0.063, F,HDR
11264,TV/Monitor, Samsung , QE65Q67TAU ,W,0.151, G,HDR
11265,TV/Monitor, Samsung , QE50Q64TAU ,W,0.097, G,HDR
11266,TV/Monitor, SAMSUNG , GQ50Q6PTGU ,W,0.097, G,HDR
11267,TV/Monitor, SAMSUNG , GQ50Q6ETGU ,W,0.097, G,HDR
11268,TV/Monitor, JVC , LT-55VUQ300I ,W,0.123, G,HDR
11270,TV/Monitor, PHILIPS , 273B9 ,W,0.021,https://eprel.ec.europa.eu/assets/images/label/thumbnails/E-Left-LightOrange-WithAGScale.png,SDR
11271,TV/Monitor, acer , ED320QR ,W,0.031100000000000003,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
11272,TV/Monitor, acer , ED273UR ,W,0.026,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
11273,TV/Monitor, Panasonic , TX-50HXN888 ,W,0.101, G,HDR
11274,TV/Monitor, Panasonic , TX-50HXF887 ,W,0.101, G,HDR
11275,TV/Monitor, VOX Electronics , 39ADS316B ,W,0.045399999999999996,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
11276,TV/Monitor, acer , ED273U A ,W,0.031, G,HDR
11277,TV/Monitor, NordMende , ARF55UHD ,W,0.123, G,HDR
11278,TV/Monitor, Samsung , UE43TU7092U ,W,0.101, G,HDR
11279,TV/Monitor, Panasonic , TX-50HX800B ,W,0.101, G,HDR
11280,TV/Monitor, acer , ED273 ,W,0.026,https://eprel.ec.europa.eu/assets/images/label/thumbnails/F-Left-DarkOrange-WithAGScale.png,SDR
