,Type,Brand,Model,Type_consumption,Consumption,Label,Other
6137,Oven, BERTAZZONI , AA0JJXUAXE.KB ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6138,Oven, BERTAZZONI , MXK0DZUAX4AKB ,kWh/ciclo,2.06,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,99
6139,Oven, BERTAZZONI , AAP0JXUAX4DKB ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6140,Oven, BERTAZZONI , ABP0JXUAN4DKB ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6141,Oven, BERTAZZONI , AYH0JEAAL4DKB ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6142,Oven, BERTAZZONI , ABP0JEAAL4DKB ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6143,Oven, BERTAZZONI , AXK0JEVAD0DIZ ,kWh/ciclo,0.99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,86
6144,Oven, BERTAZZONI , AJKKJEAAD7DNK ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6145,Oven, BERTAZZONI , AYK0JXUAR0DIZ ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6146,Oven, BERTAZZONI , AXH0JZUAX0DIZ ,kWh/ciclo,0.99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,86
6147,Oven, BERTAZZONI , AJKKJKUAX0DMD ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6148,Oven, BERTAZZONI , AHS0JKUAX4D00 ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6149,Oven, BERTAZZONI , AYK0JGHAD7DNK ,kWh/ciclo,0.8,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,58
6150,Oven, BERTAZZONI , AXK0JKUAL7DNK ,kWh/ciclo,0.99,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,86
