,Type,Brand,Model,Type_consumption,Label,Other,Consumption
3766,Water heaters, ITALTHERM , Aquasmart 300 Solar ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.6012176560121767
3767,Water heaters, ITALTHERM , Aquasmart 100 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.7628578459519317
3768,Water heaters, ITALTHERM , Aquasmart 200 Frost ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.3072407045009784
3769,Water heaters, ITALTHERM , Aquasmart 300 Frost ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.610958904109589
3770,Water heaters, ITALTHERM , Aquasmart 200 Solar ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.3823874755381607
3772,Water heaters, SIC srl , COMPACT CRE-PEP275 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.2931506849315066
3773,Water heaters, SIC Srl , COMPACT CRE-PEL275 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.2931506849315066
3774,Water heaters, KRONOTERM , WP2 LF-302B ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.5147640791476409
3775,Water heaters, KRONOTERM , WP2 LF-302E ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.2493150684931509
3776,Water heaters, SIC srl , COMPACT CRE-PWW275 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.2931506849315066
3788,Water heaters, KRONOTERM , WP2 LF-202E ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,0.9722113502935421
3789,Water heaters, KRONOTERM , WP2 LF-202S ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.0113502935420744
3790,Water heaters, KRONOTERM , WP2 LF-202B ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.1522504892367906
3791,Water heaters, KRONOTERM , WP1 LF-101 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M,0.7562956279222378
3792,Water heaters, KRONOTERM , WP2 LF-302S ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.306544901065449
3793,Water heaters, KRONOTERM , WP4 LF-502 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XXL,1.3967621419676215
3794,Water heaters, Galmet , Basic 200 (09-353102) ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.063013698630137
3795,Water heaters, Dimplex , DHW 300 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4952815829528159
3796,Water heaters, Dimplex , DHW 300D ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4952815829528159
3797,Water heaters, Dimplex , DHW 300D+ ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4952815829528159
3798,Water heaters, Dimplex , DHW 400+ ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XXL,1.6298879202988792
3800,Water heaters, Galmet , Spectra (09-363100) ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.1287671232876713
3801,Water heaters, Dimplex , DHW 300VD+ ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4952815829528159
3802,Water heaters, OCHSNER , Europa 300 L ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4916286149162863
3803,Water heaters, Galmet , Spectra (09-363100Q) ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.1287671232876713
3804,Water heaters, OCHSNER , Europa 250 DKL  ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.3933463796477494
3805,Water heaters, OCHSNER , Europa Mini IWPL  ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.704718417047184
3806,Water heaters, OCHSNER , Europa 250 DK  ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L,1.3933463796477494
3807,Water heaters, Dimplex , DHW 300+ ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.4952815829528159
3808,Water heaters, OCHSNER , Europa Mini IWP ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL,1.5926940639269407
3861,Water heaters, ARISTON , NUOS EVO A+ 110 WH FR 3629058 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, M,0.8284800262488722
3862,Water heaters, ARISTON , LYDOS HYBRID 100 FR 3629054 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, M,1.069641538840128
3863,Water heaters, Chaffoteaux , AQUANEXT SPLIT FLEX 270 FS 3069500 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.7424657534246577
3864,Water heaters, ARISTON , NUOS SPLIT FLEX 150 WH 3069495 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.4090019569471626
3865,Water heaters, ARISTON , NUOS SPLIT FLEX 200 WH 3069496 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.4246575342465755
3866,Water heaters, ARISTON , NUOS SPLIT FLEX 270 FS 3069497 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, XL,1.7424657534246577
3867,Water heaters, Chaffoteaux , AQUANEXT SPLIT FLEX 200 WH 3069499 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.4246575342465755
3868,Water heaters, ARISTON , LYDOS HYBRID 80 3629052 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, M,1.0056599130506112
3869,Water heaters, ARISTON , LYDOS HYBRID 100 3629053 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, M,1.069641538840128
3870,Water heaters, Chaffoteaux , AQUANEXT SPLIT FLEX 150 WH 3069498 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-DarkGreen.png, L,1.4090019569471626
3904,Water heaters, ATLANTIC , 286040 ,Consumo anual de electricidad,https://eprel.ec.europa.eu/assets/images/label/thumbnails/undefined, L,1.2665362035225047
