,Type,Brand,Model,Type_consumption,Consumption,Label,Other
1306,Range hoods, EAS ELECTRIC SMART TECHNOLOGY , EMRH908TX ,Consumo anual de energía,55.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1307,Range hoods, AKPO , WK-9 CRYSTAL AMBIENTE80/T11/C27/L11/FA4 ,Consumo anual de energía,48.5,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1308,Range hoods, Exquisit , KFD817-2L schwarz ,Consumo anual de energía,31.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1309,Range hoods, Exquisit , KFD617-2L schwarz ,Consumo anual de energía,31.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1310,Range hoods, SIL FIM , KBO0273120EXL ,Consumo anual de energía,45.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-LightGreen.png,
1311,Range hoods, Haier , HADG6DS46BWIFI ,Consumo anual de energía,32.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
1312,Range hoods, Hoover , HDG6DCK3BWIFI ,Consumo anual de energía,48.1,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1313,Range hoods, AEG , DGE5861HR 942022610 ,Consumo anual de energía,54.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1314,Range hoods, Hoover , HTS6CBK3XWIFI ,Consumo anual de energía,47.4,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1315,Range hoods, SIL FIM , K01189180EXDXBL ,Consumo anual de energía,61.6,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-Yellow.png,
1316,Range hoods, ELICA , E023GII-009-002 ,Consumo anual de energía,75.0,https://eprel.ec.europa.eu/assets/images/label/thumbnails/B-Left-LightOrange.png,
1317,Range hoods, RØROSHETTA , 101300 ,Consumo anual de energía,11.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
1318,Range hoods, RØROSHETTA , 101500 ,Consumo anual de energía,11.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
1319,Range hoods, RØROSHETTA , 101900 ,Consumo anual de energía,11.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
1320,Range hoods, RØROSHETTA , 335100 ,Consumo anual de energía,11.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
1321,Range hoods, RØROSHETTA , 322000 ,Consumo anual de energía,11.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
1322,Range hoods, RØROSHETTA , 142000 ,Consumo anual de energía,11.7,https://eprel.ec.europa.eu/assets/images/label/thumbnails/APP-Left-MediumGreen.png,
