,Type,Brand,Model,Type_consumption,Consumption,Label,Other
1468,Water heaters, TIKI , HPTC100ZNT ,Consumo anual de electricidad, 464,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
1469,Water heaters, TIKI , HPTC120Z ,Consumo anual de electricidad, 459,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
1484,Water heaters, Vaillant , aroSTOR VWL B 200/5 ,Consumo anual de electricidad, 775,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
1488,Water heaters, HAJDU , HPT300 ,Consumo anual de electricidad, 1 312,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
1489,Water heaters, HAJDU , HPT300C ,Consumo anual de electricidad, 1 312,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
1493,Water heaters, AQUASTIC , AQ HB 300C1 ,Consumo anual de electricidad, 1 009,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1497,Water heaters, AQUASTIC , AQ HB 200C ,Consumo anual de electricidad, 1 006,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1498,Water heaters, HAJDU , HPT200 ,Consumo anual de electricidad, 849,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1499,Water heaters, AQUASTIC , AQ HB 300 ,Consumo anual de electricidad, 1 009,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1500,Water heaters, HAJDU , HB300C ,Consumo anual de electricidad, 1 009,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1503,Water heaters, HAJDU , HB200C ,Consumo anual de electricidad, 1 006,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1504,Water heaters, AQUASTIC , AQ HB 300C ,Consumo anual de electricidad, 1 009,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1509,Water heaters, AQUASTIC , HB200 ,Consumo anual de electricidad, 1 006,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1510,Water heaters, HAJDU , HPT200C ,Consumo anual de electricidad, 849,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1511,Water heaters, HAJDU , HB300 ,Consumo anual de electricidad, 1 009,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1512,Water heaters, HAJDU , HB300C1 ,Consumo anual de electricidad, 1 009,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1517,Water heaters, AQUASTIC , AQ HB 200 ,Consumo anual de electricidad, 1 006,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1616,Water heaters, TIKI , HPTCM300ZG ,Consumo anual de electricidad, 935,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1617,Water heaters, TIKI , HPTC200ZGNT ,Consumo anual de electricidad, 797,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
1618,Water heaters, TIKI , HPTCM200ZG ,Consumo anual de electricidad, 576,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
1619,Water heaters, TIKI , HPTC300ZGNT ,Consumo anual de electricidad, 1 231,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1625,Water heaters, WATERKOTTE , EcoWell 200 ,Consumo anual de electricidad, 797,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
1638,Water heaters, ELDOM , HPWH120S ,Consumo anual de electricidad, 551,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M
1639,Water heaters, ELDOM , HPWH150I ,Consumo anual de electricidad, 1 258,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1640,Water heaters, ELDOM , HPWH120 ,Consumo anual de electricidad, 551,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M
1641,Water heaters, ELDOM , HPWH120I ,Consumo anual de electricidad, 551,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M
1642,Water heaters, ELDOM , HPWH150 ,Consumo anual de electricidad, 1 258,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1643,Water heaters, ELDOM , HPWH150IS ,Consumo anual de electricidad, 1 258,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1644,Water heaters, ELDOM , HPWH120IS ,Consumo anual de electricidad, 551,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M
1645,Water heaters, ELDOM , HPWH150S ,Consumo anual de electricidad, 1 258,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, L
1646,Water heaters, Baxi Spa , A7677361 - SCALDACQUA IN PDC SPC90 ,Consumo anual de electricidad, 700,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XXL
1647,Water heaters, Baxi Spa , A7736164 - SPC SPLIT 150 WH2 ,Consumo anual de electricidad, 733,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
1648,Water heaters, ATLANTIC , 090788 ,Consumo anual de electricidad, 1 909,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XXL
1676,Water heaters, Paradigma , Libra Easy 260 LS ,Consumo anual de electricidad, 1 323,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1679,Water heaters, Paradigma , Libra Easy 260 HS ,Consumo anual de electricidad, 1 371,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
1774,Water heaters, ATLANTIC , 239728 ,Consumo anual de electricidad, 461,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
1778,Water heaters, Galmet , Basic 270 (09-355102) ,Consumo anual de electricidad, 1 212,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1779,Water heaters, ATLANTIC , 286041 ,Consumo anual de electricidad, 824,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
1782,Water heaters, Galmet , Basic 270 (09-355202) ,Consumo anual de electricidad, 1 212,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1816,Water heaters, Viessmann Werke GmbH & Co. KG , 7725747 Vitocal 262-A T2H 2.25 KW ,Consumo anual de electricidad, 1 081,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1817,Water heaters, Viessmann Werke GmbH & Co. KG , 2122392 Vitocal 262-A T2H 2.25 KW ,Consumo anual de electricidad, 1 246,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1829,Water heaters, Viessmann Werke GmbH & Co. KG , 7788920 Vitocal 262-A T2W 2.25 KW ,Consumo anual de electricidad, 1 260,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, XL
1840,Water heaters, GORENJE , TCA1ZVNT ,Consumo anual de electricidad, 1 122,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1841,Water heaters, WATERKOTTE , EcoWell 300 ,Consumo anual de electricidad, 1 246,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
1923,Water heaters, KOSPEL S.A. , HPSW - 2/250 ,Consumo anual de electricidad, 832,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2082,Water heaters, VORTICE  , 45095 VORT WBHP 160 FENICE ,Consumo anual de electricidad, 862,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2128,Water heaters, GORENJE , TC200TZGNT ,Consumo anual de electricidad, 797,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2129,Water heaters, GORENJE , TC201TZGNT ,Consumo anual de electricidad, 806,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2130,Water heaters, GORENJE , TC302TZGNT ,Consumo anual de electricidad, 1 247,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2131,Water heaters, GORENJE , TC301TZGNT ,Consumo anual de electricidad, 1 246,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2132,Water heaters, GORENJE , TC300TZGNT ,Consumo anual de electricidad, 1 231,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2145,Water heaters, CLIMER , EH115TD ,Consumo anual de electricidad, 518,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M
2166,Water heaters, Itho Daalderop ," 03-00352 W/W Warmtepomp 5G - 3,4 kW collectieve bron + 03-00547 WPV 90 2G ",Consumo anual de electricidad, 384,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
2167,Water heaters, Itho Daalderop ," 03-00352 W/W Warmtepomp 5G - 3,4 kW collectieve bron + 03-00548 WPV 150 2G ",Consumo anual de electricidad, 1 019,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2168,Water heaters, Itho Daalderop ," 03-00352 W/W Warmtepomp 5G - 3,4 kW collectieve bron + 03-00549 WPV 200 2G ",Consumo anual de electricidad, 1 066,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2169,Water heaters, METRO THERM , METRO MICROBOOSTER V 157191601 ,Consumo anual de electricidad, 630,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2170,Water heaters, METRO THERM , METRO MICROBOOSTER VS 157191602 ,Consumo anual de electricidad, 643,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2172,Water heaters, METRO THERM , METRO MICROBOOSTER P 157191603 ,Consumo anual de electricidad, 608,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2173,Water heaters, METRO THERM , METRO MICROBOOSTER PS 157191604 ,Consumo anual de electricidad, 621,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2176,Water heaters, METRO THERM , METROAIR AQUA 201 8255191610 ,Consumo anual de electricidad, 703,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2177,Water heaters, METRO THERM , METROAIR AQUA 301 8255261609 ,Consumo anual de electricidad, 1 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2220,Water heaters, Itho Daalderop , 03-00355 WPU 45C-5G + 03-00456 WPV 150 ,Consumo anual de electricidad, 1 115,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2221,Water heaters, Itho Daalderop , 03-00355 WPU 45C-5G + 03-00455 WPV 200 ,Consumo anual de electricidad, 1 407,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XXL
2222,Water heaters, Itho Daalderop ," 03-00414 W/W Warmtepomp 5G - 2,5 kW individuele bron + 03-00547 WPV 90 2G ",Consumo anual de electricidad, 365,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, M
2223,Water heaters, Itho Daalderop ," 03-00414 W/W Warmtepomp 5G - 2,5 kW individuele bron + 03-00548 WPV 150 2G ",Consumo anual de electricidad, 958,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2271,Water heaters, Itho Daalderop , 03-00358 WPU 55C-5G + 03-00455 WPV 200 ,Consumo anual de electricidad, 1 432,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XXL
2272,Water heaters, Itho Daalderop , 03-00358 WPU 55C-5G + 03-00456 WPV 150 ,Consumo anual de electricidad, 1 069,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2291,Water heaters, CLIMER , EH085 ,Consumo anual de electricidad, 516,https://eprel.ec.europa.eu/assets/images/label/thumbnails/A-Left-MediumGreen.png, M
2363,Water heaters, Bosch , 7736503524 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2364,Water heaters, Buderus , 7736503528 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2365,Water heaters, Buderus , 7735501468 ,Consumo anual de electricidad, 721,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2366,Water heaters, Buderus , 7735500589 ,Consumo anual de electricidad, 721,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2367,Water heaters, Buderus , 7736503526 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
2368,Water heaters, Bosch , 7735500588 ,Consumo anual de electricidad, 721,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, L
2369,Water heaters, Buderus , 7736503529 ,Consumo anual de electricidad, 1 230,https://eprel.ec.europa.eu/assets/images/label/thumbnails/AP-Left-DarkGreen.png, XL
